space, velocityNx=80
0, 0.1
0.0125, 0.100981
0.025, 0.103899
0.0375, 0.108682
0.05, 0.115214
0.0625, 0.123332
0.075, 0.132837
0.0875, 0.143495
0.1, 0.155043
0.1125, 0.167198
0.125, 0.179659
0.1375, 0.192121
0.15, 0.204275
0.1625, 0.215824
0.175, 0.226482
0.1875, 0.235987
0.2, 0.244105
0.2125, 0.250636
0.225, 0.25542
0.2375, 0.258338
0.25, 0.259319
0.2625, 0.258338
0.275, 0.25542
0.2875, 0.250636
0.3, 0.244105
0.3125, 0.235987
0.325, 0.226482
0.3375, 0.215824
0.35, 0.204275
0.3625, 0.192121
0.375, 0.179659
0.3875, 0.167198
0.4, 0.155043
0.4125, 0.143495
0.425, 0.132837
0.4375, 0.123332
0.45, 0.115214
0.4625, 0.108682
0.475, 0.103899
0.4875, 0.100981
0.5, 0.1
0.5125, 0.100981
0.525, 0.103899
0.5375, 0.108682
0.55, 0.115214
0.5625, 0.123332
0.575, 0.132837
0.5875, 0.143495
0.6, 0.155043
0.6125, 0.167198
0.625, 0.179659
0.6375, 0.192121
0.65, 0.204275
0.6625, 0.215824
0.675, 0.226482
0.6875, 0.235987
0.7, 0.244105
0.7125, 0.250636
0.725, 0.25542
0.7375, 0.258338
0.75, 0.259319
0.7625, 0.258338
0.775, 0.25542
0.7875, 0.250636
0.8, 0.244105
0.8125, 0.235987
0.825, 0.226482
0.8375, 0.215824
0.85, 0.204275
0.8625, 0.192121
0.875, 0.179659
0.8875, 0.167198
0.9, 0.155043
0.9125, 0.143495
0.925, 0.132837
0.9375, 0.123332
0.95, 0.115214
0.9625, 0.108682
0.975, 0.103899
0.9875, 0.100981
1, 0.1
