space, Nx=40
0, 0.100094
0.025, 0.104005
0.05, 0.115355
0.075, 0.133033
0.1, 0.155308
0.125, 0.18
0.15, 0.204692
0.175, 0.226967
0.2, 0.244645
0.225, 0.255995
0.25, 0.259906
0.275, 0.255995
0.3, 0.244645
0.325, 0.226967
0.35, 0.204692
0.375, 0.18
0.4, 0.155308
0.425, 0.133033
0.45, 0.115355
0.475, 0.104005
0.5, 0.100094
0.525, 0.104005
0.55, 0.115355
0.575, 0.133033
0.6, 0.155308
0.625, 0.18
0.65, 0.204692
0.675, 0.226967
0.7, 0.244645
0.725, 0.255995
0.75, 0.259906
0.775, 0.255995
0.8, 0.244645
0.825, 0.226967
0.85, 0.204692
0.875, 0.18
0.9, 0.155308
0.925, 0.133033
0.95, 0.115355
0.975, 0.104005
1, 0.100094
