space, Nx=100
0.005, 999983
0.015, 999883
0.025, 999683
0.035, 999383
0.045, 998983
0.055, 998483
0.065, 997883
0.075, 997183
0.085, 996383
0.095, 995483
0.105, 994483
0.115, 993383
0.125, 992183
0.135, 990883
0.145, 989483
0.155, 987983
0.165, 986383
0.175, 984683
0.185, 982883
0.195, 980983
0.205, 978983
0.215, 976883
0.225, 974683
0.235, 972383
0.245, 969983
0.255, 967483
0.265, 964883
0.275, 962183
0.285, 959383
0.295, 956483
0.305, 953483
0.315, 950383
0.325, 947183
0.335, 943883
0.345, 940483
0.355, 936983
0.365, 933383
0.375, 929683
0.385, 925883
0.395, 921983
0.405, 917983
0.415, 913883
0.425, 909683
0.435, 905383
0.445, 900983
0.455, 896483
0.465, 891883
0.475, 887183
0.485, 882383
0.495, 877483
0.505, 872483
0.515, 867383
0.525, 862183
0.535, 856883
0.545, 851483
0.555, 845983
0.565, 840383
0.575, 834683
0.585, 828883
0.595, 822983
0.605, 816983
0.615, 810883
0.625, 804683
0.635, 798383
0.645, 791983
0.655, 785483
0.665, 778883
0.675, 772183
0.685, 765383
0.695, 758483
0.705, 751483
0.715, 744383
0.725, 737183
0.735, 729883
0.745, 722483
0.755, 714983
0.765, 707383
0.775, 699683
0.785, 691883
0.795, 683983
0.805, 675983
0.815, 667883
0.825, 659683
0.835, 651383
0.845, 642983
0.855, 634483
0.865, 625883
0.875, 617183
0.885, 608383
0.895, 599483
0.905, 590483
0.915, 581383
0.925, 572183
0.935, 562883
0.945, 553483
0.955, 543983
0.965, 534383
0.975, 524683
0.985, 514883
0.995, 504983
