space, t=0.000000s, t=34560.000000s, t=69120.000000s, t=103680.000000s, t=138240.000000s, t=172800.000000s, t=207360.000000s, t=241920.000000s, t=276480.000000s, t=311040.000000s, t=345600.000000s, 
0.000225, 0.385536, 0.385536, 0.385536, 0.385536, 0.385536, 0.385536, 0.385536, 0.385536, 0.385536, 0.385536, 0.385536, 
0.000675, 0.00545, 0.157512, 0.248739, 0.303468, 0.336301, 0.355999, 0.367816, 0.374905, 0.379159, 0.38171, 0.383241, 
0.001125, 0.00545, 0.0413013, 0.109302, 0.177991, 0.235932, 0.280731, 0.31363, 0.33698, 0.353156, 0.36416, 0.371542, 
0.001575, 0.00545, 0.0113919, 0.037884, 0.0817474, 0.13337, 0.184639, 0.230644, 0.269233, 0.30008, 0.323867, 0.341702, 
0.002025, 0.00545, 0.0062092, 0.013376, 0.0323706, 0.0633285, 0.102692, 0.145776, 0.18844, 0.227767, 0.262123, 0.290908, 
0.002475, 0.00545, 0.00552906, 0.00703715, 0.0133083, 0.0273643, 0.0501733, 0.0805729, 0.116073, 0.153783, 0.191086, 0.225996, 
0.002925, 0.00545, 0.00545696, 0.00571908, 0.00740161, 0.0125545, 0.0231934, 0.0404303, 0.0641447, 0.0931523, 0.12563, 0.159567, 
0.003375, 0.00545, 0.00545053, 0.00548956, 0.00587136, 0.00745978, 0.0116203, 0.0198014, 0.033048, 0.0516946, 0.0753122, 0.10286, 
0.003825, 0.00545, 0.00545004, 0.00545514, 0.00553044, 0.0059538, 0.00735681, 0.0106998, 0.0170639, 0.0273664, 0.0421216, 0.0613252, 
0.004275, 0.00545, 0.00545, 0.0054506, 0.00546376, 0.00556333, 0.00597975, 0.00718021, 0.0098647, 0.0148591, 0.0229437, 0.0346802, 
0.004725, 0.00545, 0.00545, 0.00545006, 0.00545213, 0.00547312, 0.00558361, 0.00596845, 0.00697838, 0.00913642, 0.0130829, 0.0194712, 
0.005175, 0.00545, 0.00545, 0.00545001, 0.0054503, 0.00545431, 0.00548085, 0.00559235, 0.00593544, 0.00677695, 0.00851466, 0.0116503, 
0.005625, 0.00545, 0.00545, 0.00545, 0.00545004, 0.00545074, 0.00545657, 0.00548606, 0.00559237, 0.00589147, 0.00658864, 0.00799047, 
0.006075, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545012, 0.0054513, 0.00545848, 0.00548877, 0.00558649, 0.00584345, 0.00641904, 
0.006525, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545002, 0.00545024, 0.00545186, 0.00545985, 0.0054894, 0.00557702, 0.00579559, 
0.006975, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545004, 0.00545038, 0.00545235, 0.00546066, 0.00548847, 0.00556569, 
0.007425, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545001, 0.00545007, 0.00545053, 0.00545272, 0.00546097, 0.00548648, 
0.007875, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545001, 0.00545011, 0.00545065, 0.00545296, 0.00546087, 
0.008325, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545002, 0.00545015, 0.00545075, 0.00545307, 
0.008775, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545003, 0.00545018, 0.00545082, 
0.009225, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545001, 0.00545004, 0.00545021, 
0.009675, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545001, 0.00545005, 
0.010125, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545001, 
0.010575, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 
0.011025, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 
0.011475, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 
0.011925, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 
0.012375, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 
0.012825, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 0.00545, 
