time, x=0.000500m, x=0.100500m, x=0.200500m, x=0.300500m, x=0.400500m, x=0.500500m, x=0.600500m, x=0.700500m, x=0.800500m, x=0.900500m, x=0.999500m, 
0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 
0.001, 0, 0.997, 0.997, 0.997, 0.997, 0.4985, 3.93247e-31, 3.10217e-61, 2.44718e-91, 1.93049e-121, 3.04577e-151, 
0.002, 0, 0.994009, 0.994009, 0.994009, 0.994009, 0.745507, 2.01915e-29, 3.13926e-59, 3.69636e-89, 3.87826e-119, 7.62195e-149, 
0.003, 0, 0.991027, 0.991027, 0.991027, 0.991027, 0.867149, 5.23501e-28, 1.5963e-57, 2.80087e-87, 3.90534e-117, 9.55593e-147, 
0.004, 0, 0.988054, 0.988054, 0.988054, 0.988054, 0.926301, 9.13719e-27, 5.43818e-56, 1.41956e-85, 2.62826e-115, 8.00302e-145, 
0.005, 0, 0.98509, 0.98509, 0.98509, 0.98509, 0.954306, 1.20772e-25, 1.39633e-54, 5.4139e-84, 1.32989e-113, 5.03687e-143, 
0.006, 0, 0.982134, 0.982134, 0.982134, 0.982134, 0.966789, 1.28935e-24, 2.88229e-53, 1.65722e-82, 5.39668e-112, 2.54109e-141, 
0.007, 0, 0.979188, 0.979188, 0.979188, 0.979188, 0.971538, 1.15801e-23, 4.98219e-52, 4.24124e-81, 1.82948e-110, 1.07043e-139, 
0.008, 0, 0.97625, 0.97625, 0.97625, 0.97625, 0.972437, 8.99898e-23, 7.41753e-51, 9.33416e-80, 5.32905e-109, 3.87267e-138, 
0.009, 0, 0.973322, 0.973322, 0.973322, 0.973322, 0.971421, 6.17631e-22, 9.70958e-50, 1.80334e-78, 1.36159e-107, 1.22837e-136, 
0.01, 0, 0.970402, 0.970402, 0.970402, 0.970402, 0.969454, 3.80299e-21, 1.1352e-48, 3.10697e-77, 3.09994e-106, 3.47015e-135, 
0.011, 0, 0.967491, 0.967491, 0.967491, 0.967491, 0.967018, 2.12686e-20, 1.20023e-47, 4.83327e-76, 6.36742e-105, 8.84027e-134, 
0.012, 0, 0.964588, 0.964588, 0.964588, 0.964588, 0.964353, 1.0912e-19, 1.15911e-46, 6.85729e-75, 1.1919e-103, 2.05136e-132, 
0.013, 0, 0.961694, 0.961694, 0.961694, 0.961694, 0.961577, 5.17832e-19, 1.03099e-45, 8.94684e-74, 2.05014e-102, 4.37201e-131, 
0.014, 0, 0.958809, 0.958809, 0.958809, 0.958809, 0.958751, 2.2887e-18, 8.50485e-45, 1.08097e-72, 3.263e-101, 8.61802e-130, 
0.015, 0, 0.955933, 0.955933, 0.955933, 0.955933, 0.955904, 9.47645e-18, 6.54532e-44, 1.21664e-71, 4.83411e-100, 1.58051e-128, 
0.016, 0, 0.953065, 0.953065, 0.953065, 0.953065, 0.95305, 3.69447e-17, 4.72345e-43, 1.28212e-70, 6.70041e-99, 2.71062e-127, 
0.017, 0, 0.950206, 0.950206, 0.950206, 0.950206, 0.950199, 1.3621e-16, 3.21053e-42, 1.2707e-69, 8.72776e-98, 4.36672e-126, 
0.018, 0, 0.947355, 0.947355, 0.947355, 0.947355, 0.947352, 4.76747e-16, 2.06335e-41, 1.18905e-68, 1.07255e-96, 6.63372e-125, 
0.019, 0, 0.944513, 0.944513, 0.944513, 0.944513, 0.944511, 1.58951e-15, 1.25819e-40, 1.05415e-67, 1.24782e-95, 9.5362e-124, 
0.02, 0, 0.94168, 0.94168, 0.94168, 0.94168, 0.941679, 5.06345e-15, 7.3018e-40, 8.88157e-67, 1.37861e-94, 1.30122e-122, 
0.021, 0, 0.938855, 0.938855, 0.938855, 0.938855, 0.938854, 1.54531e-14, 4.04407e-39, 7.13116e-66, 1.45041e-93, 1.69002e-121, 
0.022, 0, 0.936038, 0.936038, 0.936038, 0.936038, 0.936038, 4.52926e-14, 2.14285e-38, 5.47013e-65, 1.45674e-92, 2.09448e-120, 
0.023, 0, 0.93323, 0.93323, 0.93323, 0.93323, 0.93323, 1.27773e-13, 1.08875e-37, 4.01776e-64, 1.39992e-91, 2.48252e-119, 
0.024, 0, 0.93043, 0.93043, 0.93043, 0.93043, 0.93043, 3.47637e-13, 5.3151e-37, 2.83148e-63, 1.28988e-90, 2.81992e-118, 
0.025, 0, 0.927639, 0.927639, 0.927639, 0.927639, 0.927639, 9.13859e-13, 2.49782e-36, 1.91824e-62, 1.14165e-89, 3.0756e-117, 
