space, t=0.000000s, t=0.100000s, t=0.200000s, t=0.300000s, t=0.400000s, t=0.500000s, t=0.600000s, t=0.700000s, t=0.800000s, t=0.900000s, t=1.000000s, 
0.0005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0.0015, 1, 5.84139e-31, 3.41218e-61, 1.99319e-91, 1.1643e-121, 6.80113e-152, 3.97281e-182, 2.32067e-212, 1.3556e-242, 7.91856e-273, 4.62554e-303, 
0.0025, 1, 2.97911e-29, 3.44631e-59, 3.00972e-89, 2.34024e-119, 1.70708e-149, 1.19582e-179, 8.14556e-210, 5.43594e-240, 3.57127e-270, 2.3174e-300, 
0.0035, 1, 7.67267e-28, 1.74909e-57, 2.27991e-87, 2.35782e-117, 2.14668e-147, 1.8027e-177, 1.43159e-207, 1.09127e-237, 8.06217e-268, 5.81088e-298, 
0.0045, 1, 1.33044e-26, 5.94747e-56, 1.15521e-85, 1.58764e-115, 1.80324e-145, 1.81474e-175, 1.67974e-205, 1.46231e-235, 1.21471e-265, 9.72358e-296, 
0.0055, 1, 1.74719e-25, 1.52426e-54, 4.40451e-84, 8.03773e-114, 1.13832e-143, 1.37242e-173, 1.48029e-203, 1.47146e-233, 1.37415e-263, 1.22153e-293, 
0.0065, 1, 1.85344e-24, 3.14059e-53, 1.3479e-82, 3.26348e-112, 5.76008e-142, 8.31704e-172, 1.0451e-201, 1.18601e-231, 1.24499e-261, 1.22887e-291, 
0.0075, 1, 1.65422e-23, 5.41885e-52, 3.44875e-81, 1.10693e-110, 2.43373e-140, 4.20715e-170, 6.15752e-200, 7.97606e-230, 9.41015e-260, 1.03124e-289, 
0.0085, 1, 1.27757e-22, 8.05321e-51, 7.58824e-80, 3.22616e-109, 8.83139e-139, 1.82717e-168, 3.11402e-198, 4.60341e-228, 6.10325e-258, 7.425e-288, 
0.0095, 1, 8.71507e-22, 1.05231e-49, 1.4657e-78, 8.24757e-108, 2.80964e-137, 6.95492e-167, 1.37994e-196, 2.32765e-226, 3.46747e-256, 4.68246e-286, 
0.0105, 1, 5.33401e-21, 1.22817e-48, 2.52471e-77, 1.8788e-106, 7.96115e-136, 2.35705e-165, 5.44328e-195, 1.04747e-224, 1.75303e-254, 2.62742e-284, 
0.0115, 1, 2.96546e-20, 1.29629e-47, 3.92669e-76, 3.86136e-105, 2.03422e-134, 7.20115e-164, 1.93516e-193, 4.2476e-223, 7.98523e-253, 1.32819e-282, 
0.0125, 1, 1.51258e-19, 1.24977e-46, 5.56998e-75, 7.23217e-104, 4.73456e-133, 2.00334e-162, 6.26312e-192, 1.5678e-221, 3.31032e-251, 6.10977e-281, 
0.0135, 1, 7.13672e-19, 1.10976e-45, 7.26594e-74, 1.2447e-102, 1.0121e-131, 5.11717e-161, 1.86075e-190, 5.31111e-220, 1.25934e-249, 2.57889e-279, 
0.0145, 1, 3.13638e-18, 9.13956e-45, 8.77732e-73, 1.98225e-101, 2.00103e-130, 1.20852e-159, 5.11016e-189, 1.66285e-218, 4.42718e-248, 1.00579e-277, 
0.0155, 1, 1.29137e-17, 7.02234e-44, 9.87729e-72, 2.93844e-100, 3.68085e-129, 2.65462e-158, 1.30498e-187, 4.84027e-217, 1.44679e-246, 3.64609e-276, 
0.0165, 1, 5.00677e-17, 5.05955e-43, 1.04073e-70, 4.07535e-99, 6.33177e-128, 5.45123e-157, 3.11474e-186, 1.31661e-215, 4.41767e-245, 1.23484e-274, 
0.0175, 1, 1.8359e-16, 3.43352e-42, 1.03131e-69, 5.31167e-98, 1.0231e-126, 1.05115e-155, 6.97939e-185, 3.36163e-214, 1.26599e-243, 3.9246e-273, 
0.0185, 1, 6.39135e-16, 2.20322e-41, 9.64915e-69, 6.53152e-97, 1.55892e-125, 1.91079e-154, 1.47398e-183, 8.08808e-213, 3.4183e-242, 1.17511e-271, 
0.0195, 1, 2.11966e-15, 1.34141e-40, 8.5534e-68, 7.60357e-96, 2.24774e-124, 3.28581e-153, 2.94406e-182, 1.84014e-211, 8.72651e-241, 3.32632e-270, 
0.0205, 1, 6.71707e-15, 7.77291e-40, 7.2057e-67, 8.40581e-95, 3.0763e-123, 5.36159e-152, 5.57863e-181, 3.97104e-210, 2.11283e-239, 8.92888e-269, 
0.0215, 1, 2.03944e-14, 4.29854e-39, 5.78499e-66, 8.8492e-94, 4.00748e-122, 8.32474e-151, 1.00563e-179, 8.15104e-209, 4.86501e-238, 2.27918e-267, 
0.0225, 1, 5.94724e-14, 2.27432e-38, 4.4371e-65, 8.89353e-93, 4.98152e-121, 1.23299e-149, 1.72886e-178, 1.59537e-207, 1.06804e-236, 5.54623e-266, 
0.0235, 1, 1.66937e-13, 1.15385e-37, 3.25874e-64, 8.55214e-92, 5.9222e-120, 1.74601e-148, 2.84107e-177, 2.98427e-206, 2.24057e-235, 1.28955e-264, 
0.0245, 1, 4.51952e-13, 5.62485e-37, 2.29639e-63, 7.88499e-91, 6.74733e-119, 2.36878e-147, 4.472e-176, 5.3461e-205, 4.50087e-234, 2.87078e-263, 
0.0255, 1, 1.1823e-12, 2.63964e-36, 1.55563e-62, 6.98349e-90, 7.38124e-118, 3.08474e-146, 6.75521e-175, 9.18927e-204, 8.67404e-233, 6.13059e-262, 
0.0265, 1, 2.99357e-12, 1.19453e-35, 1.01481e-61, 5.9517e-89, 7.76654e-117, 3.86261e-145, 9.80953e-174, 1.51818e-202, 1.60653e-231, 1.25806e-260, 
0.0275, 1, 7.34758e-12, 5.221e-35, 6.38509e-61, 4.88877e-88, 7.87266e-116, 4.65806e-144, 1.37159e-172, 2.41468e-201, 2.86412e-230, 2.48479e-259, 
0.0285, 1, 1.75069e-11, 2.20726e-34, 3.88057e-60, 3.87605e-87, 7.6993e-115, 5.41792e-143, 1.8493e-171, 3.70281e-200, 4.92235e-229, 4.73055e-258, 
0.0295, 1, 4.05469e-11, 9.03815e-34, 2.28119e-59, 2.97033e-86, 7.27464e-114, 6.0864e-142, 2.40765e-170, 5.48193e-199, 8.16637e-228, 8.69285e-257, 
0.0305, 1, 9.13938e-11, 3.58906e-33, 1.29872e-58, 2.2029e-85, 6.649e-113, 6.61211e-141, 3.03066e-169, 7.84552e-198, 1.30953e-226, 1.54382e-255, 
0.0315, 1, 2.00714e-10, 1.38378e-32, 7.16916e-58, 1.58299e-84, 5.88572e-112, 6.95485e-140, 3.69279e-168, 1.0867e-196, 2.03209e-225, 2.65294e-254, 
0.0325, 1, 4.29935e-10, 5.18571e-32, 3.84151e-57, 1.1034e-83, 5.05153e-111, 7.09063e-139, 4.36041e-167, 1.45842e-195, 3.05492e-224, 4.41613e-253, 
0.0335, 1, 8.99122e-10, 1.89083e-31, 2.00015e-56, 7.46803e-83, 4.20801e-110, 7.01428e-138, 4.99466e-166, 1.89841e-194, 4.45384e-223, 7.12835e-252, 
0.0345, 1, 1.83749e-09, 6.71454e-31, 1.01291e-55, 4.91275e-82, 3.40553e-109, 6.73915e-137, 5.55539e-165, 2.39914e-193, 6.30335e-222, 1.11685e-250, 
0.0355, 1, 3.67284e-09, 2.32428e-30, 4.99371e-55, 3.144e-81, 2.68005e-108, 6.29432e-136, 6.00553e-164, 2.9463e-192, 8.66781e-221, 1.70002e-249, 
0.0365, 1, 7.18622e-09, 7.84945e-30, 2.39878e-54, 1.95909e-80, 2.05271e-107, 5.71992e-135, 6.31525e-163, 3.5191e-191, 1.15911e-219, 2.5162e-248, 
0.0375, 1, 1.37738e-08, 2.5883e-29, 1.12363e-53, 1.18958e-79, 1.53141e-106, 5.06151e-134, 6.46528e-162, 4.0914e-190, 1.50858e-218, 3.62427e-247, 
0.0385, 1, 2.58807e-08, 8.33954e-29, 5.13635e-53, 7.04415e-79, 1.11369e-105, 4.36471e-133, 6.44875e-161, 4.63375e-189, 1.9124e-217, 5.08414e-246, 
0.0395, 1, 4.7705e-08, 2.62743e-28, 2.29296e-52, 4.0708e-78, 7.90075e-105, 3.67056e-132, 6.27151e-160, 5.116e-188, 2.36303e-216, 6.95107e-245, 
0.0405, 1, 8.63172e-08, 8.09984e-28, 1.00034e-51, 2.29743e-77, 5.47141e-104, 3.01237e-131, 5.95081e-159, 5.51019e-187, 2.84802e-215, 9.2688e-244, 
0.0415, 1, 1.53406e-07, 2.44487e-27, 4.26762e-51, 1.26707e-76, 3.70119e-103, 2.41418e-130, 5.51281e-158, 5.79329e-186, 3.3503e-214, 1.2062e-242, 
0.0425, 1, 2.67948e-07, 7.22989e-27, 1.78149e-50, 6.83324e-76, 2.44717e-102, 1.89055e-129, 4.98923e-157, 5.94947e-185, 3.84914e-213, 1.53287e-241, 
0.0435, 1, 4.60214e-07, 2.09583e-26, 7.28104e-50, 3.60556e-75, 1.58244e-101, 1.4475e-128, 4.41383e-156, 5.97148e-184, 4.32156e-212, 1.90347e-240, 
0.0445, 1, 7.77678e-07, 5.95896e-26, 2.91513e-49, 1.86245e-74, 1.00132e-100, 1.08419e-127, 3.81913e-155, 5.86114e-183, 4.74415e-211, 2.31092e-239, 
0.0455, 1, 1.29356e-06, 1.66264e-25, 1.14396e-48, 9.42312e-74, 6.20348e-100, 7.94852e-127, 3.2338e-154, 5.62878e-182, 5.09511e-210, 2.74445e-238, 
0.0465, 1, 2.11896e-06, 4.55472e-25, 4.40219e-48, 4.67224e-73, 3.76477e-99, 5.70666e-126, 2.68094e-153, 5.29178e-181, 5.35611e-209, 3.18995e-237, 
0.0475, 1, 3.41987e-06, 1.22564e-24, 1.66206e-47, 2.27138e-72, 2.2392e-98, 4.01427e-125, 2.17721e-152, 4.87257e-180, 5.51391e-208, 3.63062e-236, 
0.0485, 1, 5.44043e-06, 3.2412e-24, 6.15946e-47, 1.08315e-71, 1.30589e-97, 2.76799e-124, 1.73283e-151, 4.39631e-179, 5.56147e-207, 4.04813e-235, 
0.0495, 1, 8.53442e-06, 8.42706e-24, 2.24157e-46, 5.06896e-71, 7.47084e-97, 1.87176e-123, 1.35222e-150, 3.88856e-178, 5.49838e-206, 4.42384e-234, 
0.0505, 1, 1.3207e-05, 2.15505e-23, 8.01419e-46, 2.32898e-70, 4.19443e-96, 1.24181e-122, 1.03507e-149, 3.37323e-177, 5.33069e-205, 4.74028e-233, 
0.0515, 1, 2.01691e-05, 5.42277e-23, 2.81606e-45, 1.05101e-69, 2.31203e-95, 8.08635e-122, 7.77491e-149, 2.87106e-176, 5.0701e-204, 4.98252e-232, 
0.0525, 1, 3.04074e-05, 1.34319e-22, 9.72906e-45, 4.66035e-69, 1.25172e-94, 5.17036e-121, 5.73326e-148, 2.39855e-175, 4.73267e-203, 5.13935e-231, 
0.0535, 1, 4.52728e-05, 3.27616e-22, 3.30604e-44, 2.03124e-68, 6.65848e-94, 3.24731e-120, 4.15196e-147, 1.96759e-174, 4.33731e-202, 5.20412e-230, 
0.0545, 1, 6.65891e-05, 7.87153e-22, 1.10538e-43, 8.70549e-68, 3.48145e-93, 2.0041e-119, 2.954e-146, 1.58546e-173, 3.90408e-201, 5.1752e-229, 
0.0555, 1, 9.67873e-05, 1.86366e-21, 3.63776e-43, 3.67003e-67, 1.78984e-92, 1.21581e-118, 2.06551e-145, 1.25537e-172, 3.45267e-200, 5.05594e-228, 
0.0565, 1, 0.000139065, 4.34942e-21, 1.17874e-42, 1.52242e-66, 9.05071e-92, 7.25282e-118, 1.41988e-144, 9.77068e-172, 3.00108e-199, 4.85422e-227, 
0.0575, 1, 0.000197574, 1.00089e-20, 3.76188e-42, 6.21632e-66, 4.5031e-91, 4.25585e-117, 9.59903e-144, 7.4776e-171, 2.56467e-198, 4.58168e-226, 
0.0585, 1, 0.000277638, 2.27181e-20, 1.18285e-41, 2.49919e-65, 2.20514e-90, 2.45721e-116, 6.38397e-143, 5.62886e-170, 2.15552e-197, 4.25259e-225, 
0.0595, 1, 0.000386002, 5.08754e-20, 3.66544e-41, 9.89613e-65, 1.06313e-89, 1.39639e-115, 4.17807e-142, 4.16901e-169, 1.78227e-196, 3.88277e-224, 
0.0605, 1, 0.000531099, 1.1244e-19, 1.11974e-40, 3.86063e-64, 5.04772e-89, 7.81285e-115, 2.6916e-141, 3.03898e-168, 1.45019e-195, 3.48831e-223, 
0.0615, 1, 0.000723352, 2.45316e-19, 3.37303e-40, 1.48423e-63, 2.36093e-88, 4.30499e-114, 1.70733e-140, 2.18087e-167, 1.16153e-194, 3.08461e-222, 
0.0625, 1, 0.000975488, 5.28494e-19, 1.00221e-39, 5.62484e-63, 1.0881e-87, 2.33677e-113, 1.06664e-139, 1.5412e-166, 9.16029e-194, 2.68545e-221, 
0.0635, 1, 0.00130286, 1.12454e-18, 2.93795e-39, 2.10186e-62, 4.94273e-87, 1.24984e-112, 6.56493e-139, 1.07283e-165, 7.11507e-193, 2.30241e-220, 
0.0645, 1, 0.00172376, 2.36394e-18, 8.49936e-39, 7.74623e-62, 2.21356e-86, 6.58873e-112, 3.98165e-138, 7.35796e-165, 5.44442e-192, 1.94449e-219, 
0.0655, 1, 0.00225976, 4.91051e-18, 2.42712e-38, 2.8163e-61, 9.77575e-86, 3.42425e-111, 2.38027e-137, 4.97335e-164, 4.10522e-191, 1.61808e-218, 
0.0665, 1, 0.00293594, 1.0082e-17, 6.84322e-38, 1.01035e-60, 4.2584e-85, 1.75489e-110, 1.40289e-136, 3.31368e-163, 3.05098e-190, 1.327e-217, 
0.0675, 1, 0.00378116, 2.04642e-17, 1.90544e-37, 3.57744e-60, 1.83013e-84, 8.87074e-110, 8.15383e-136, 2.17693e-162, 2.23543e-189, 1.0728e-216, 
0.0685, 1, 0.00482823, 4.10736e-17, 5.24074e-37, 1.25048e-59, 7.7617e-84, 4.42376e-109, 4.6745e-135, 1.41042e-161, 1.61511e-188, 8.55147e-216, 
0.0695, 1, 0.00611396, 8.15347e-17, 1.42411e-36, 4.31596e-59, 3.24911e-83, 2.17691e-108, 2.64388e-134, 9.01405e-161, 1.15096e-187, 6.72261e-215, 
0.0705, 1, 0.00767921, 1.60111e-16, 3.82422e-36, 1.4712e-58, 1.34276e-82, 1.05731e-107, 1.47562e-133, 5.68398e-160, 8.09142e-187, 5.21317e-214, 
