time, x=0.000225m, x=0.004725m, x=0.009225m, x=0.013725m, x=0.018225m, x=0.022725m, x=0.027225m, x=0.031725m, x=0.036225m, x=0.040725m, x=0.044775m, 
0, 16.7504, 16.7504, 16.7504, 16.7504, 16.7504, 16.7504, 16.7504, 16.7504, 16.7504, 16.7504, 16.7504, 
34.56, 16.7375, 16.7375, 16.7375, 16.7375, 16.7375, 16.7375, 16.7375, 16.7375, 16.7375, 16.7375, 16.7375, 
69.12, 16.7246, 16.7246, 16.7246, 16.7246, 16.7246, 16.7246, 16.7246, 16.7246, 16.7246, 16.7246, 16.7246, 
103.68, 16.7117, 16.7117, 16.7117, 16.7117, 16.7117, 16.7117, 16.7117, 16.7117, 16.7117, 16.7117, 16.7117, 
138.24, 16.6988, 16.6988, 16.6988, 16.6988, 16.6988, 16.6988, 16.6988, 16.6988, 16.6988, 16.6988, 16.6988, 
172.8, 16.686, 16.686, 16.686, 16.686, 16.686, 16.686, 16.686, 16.686, 16.686, 16.686, 16.686, 
207.36, 16.6731, 16.6731, 16.6731, 16.6731, 16.6731, 16.6731, 16.6731, 16.6731, 16.6731, 16.6731, 16.6731, 
241.92, 16.6603, 16.6603, 16.6603, 16.6603, 16.6603, 16.6603, 16.6603, 16.6603, 16.6603, 16.6603, 16.6603, 
276.48, 16.6474, 16.6474, 16.6474, 16.6474, 16.6474, 16.6474, 16.6474, 16.6474, 16.6474, 16.6474, 16.6474, 
311.04, 16.6346, 16.6346, 16.6346, 16.6346, 16.6346, 16.6346, 16.6346, 16.6346, 16.6346, 16.6346, 16.6346, 
345.6, 16.6218, 16.6218, 16.6218, 16.6218, 16.6218, 16.6218, 16.6218, 16.6218, 16.6218, 16.6218, 16.6218, 
380.16, 16.609, 16.609, 16.609, 16.609, 16.609, 16.609, 16.609, 16.609, 16.609, 16.609, 16.609, 
414.72, 16.5962, 16.5962, 16.5962, 16.5962, 16.5962, 16.5962, 16.5962, 16.5962, 16.5962, 16.5962, 16.5962, 
449.28, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 
483.84, 16.5706, 16.5706, 16.5706, 16.5706, 16.5706, 16.5706, 16.5706, 16.5706, 16.5706, 16.5706, 16.5706, 
518.4, 16.5578, 16.5578, 16.5578, 16.5578, 16.5578, 16.5578, 16.5578, 16.5578, 16.5578, 16.5578, 16.5578, 
552.96, 16.5451, 16.5451, 16.5451, 16.5451, 16.5451, 16.5451, 16.5451, 16.5451, 16.5451, 16.5451, 16.5451, 
587.52, 16.5323, 16.5323, 16.5323, 16.5323, 16.5323, 16.5323, 16.5323, 16.5323, 16.5323, 16.5323, 16.5323, 
622.08, 16.5196, 16.5196, 16.5196, 16.5196, 16.5196, 16.5196, 16.5196, 16.5196, 16.5196, 16.5196, 16.5196, 
656.64, 16.5068, 16.5068, 16.5068, 16.5068, 16.5068, 16.5068, 16.5068, 16.5068, 16.5068, 16.5068, 16.5068, 
691.2, 16.4941, 16.4941, 16.4941, 16.4941, 16.4941, 16.4941, 16.4941, 16.4941, 16.4941, 16.4941, 16.4941, 
725.76, 16.4814, 16.4814, 16.4814, 16.4814, 16.4814, 16.4814, 16.4814, 16.4814, 16.4814, 16.4814, 16.4814, 
760.32, 16.4687, 16.4687, 16.4687, 16.4687, 16.4687, 16.4687, 16.4687, 16.4687, 16.4687, 16.4687, 16.4687, 
