space, t=0.000000s, t=34560.000000s, t=69120.000000s, t=103680.000000s, t=138240.000000s, t=172800.000000s, t=207360.000000s, t=241920.000000s, t=276480.000000s, t=311040.000000s, t=345600.000000s, 
0.000225, 16.7504, 7.9389, 4.03623, 2.16101, 1.19256, 0.669525, 0.379565, 0.21638, 0.123744, 0.0708963, 0.0406606, 
0.000675, 16.7504, 7.9389, 4.03623, 2.16101, 1.19256, 0.669525, 0.379565, 0.21638, 0.123744, 0.0708963, 0.0406606, 
0.001125, 16.7504, 7.9389, 4.03623, 2.16101, 1.19256, 0.669525, 0.379565, 0.21638, 0.123744, 0.0708963, 0.0406606, 
0.001575, 16.7504, 7.9389, 4.03623, 2.16101, 1.19256, 0.669525, 0.379565, 0.21638, 0.123744, 0.0708963, 0.0406606, 
0.002025, 16.7504, 7.9389, 4.03623, 2.16101, 1.19256, 0.669525, 0.379565, 0.21638, 0.123744, 0.0708963, 0.0406606, 
0.002475, 16.7504, 7.9389, 4.03623, 2.16101, 1.19256, 0.669525, 0.379565, 0.21638, 0.123744, 0.0708963, 0.0406606, 
0.002925, 16.7504, 7.9389, 4.03623, 2.16101, 1.19256, 0.669525, 0.379565, 0.21638, 0.123744, 0.0708963, 0.0406606, 
0.003375, 16.7504, 7.9389, 4.03623, 2.16101, 1.19256, 0.669525, 0.379565, 0.21638, 0.123744, 0.0708963, 0.0406606, 
0.003825, 16.7504, 7.9389, 4.03623, 2.16101, 1.19256, 0.669525, 0.379565, 0.21638, 0.123744, 0.0708963, 0.0406606, 
0.004275, 16.7504, 7.9389, 4.03623, 2.16101, 1.19256, 0.669525, 0.379565, 0.21638, 0.123744, 0.0708963, 0.0406606, 
0.004725, 16.7504, 7.9389, 4.03623, 2.16101, 1.19256, 0.669525, 0.379565, 0.21638, 0.123744, 0.0708963, 0.0406606, 
0.005175, 16.7504, 7.9389, 4.03623, 2.16101, 1.19256, 0.669525, 0.379565, 0.21638, 0.123744, 0.0708963, 0.0406606, 
0.005625, 16.7504, 7.9389, 4.03623, 2.16101, 1.19256, 0.669525, 0.379565, 0.21638, 0.123744, 0.0708963, 0.0406606, 
0.006075, 16.7504, 7.9389, 4.03623, 2.16101, 1.19256, 0.669525, 0.379565, 0.21638, 0.123744, 0.0708963, 0.0406606, 
