time, x=0.000225m, x=0.004725m, x=0.009225m, x=0.013725m, x=0.018225m, x=0.022725m, x=0.027225m, x=0.031725m, x=0.036225m, x=0.040725m, x=0.044775m, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
34.56, 0.0129082, 0.0129082, 0.0129082, 0.0129082, 0.0129082, 0.0129082, 0.0129082, 0.0129082, 0.0129082, 0.0129082, 0.0129082, 
69.12, 0.0258064, 0.0258064, 0.0258064, 0.0258064, 0.0258064, 0.0258064, 0.0258064, 0.0258064, 0.0258064, 0.0258064, 0.0258064, 
103.68, 0.0386947, 0.0386947, 0.0386947, 0.0386947, 0.0386947, 0.0386947, 0.0386947, 0.0386947, 0.0386947, 0.0386947, 0.0386947, 
138.24, 0.0515731, 0.0515731, 0.0515731, 0.0515731, 0.0515731, 0.0515731, 0.0515731, 0.0515731, 0.0515731, 0.0515731, 0.0515731, 
172.8, 0.0644415, 0.0644415, 0.0644415, 0.0644415, 0.0644415, 0.0644415, 0.0644415, 0.0644415, 0.0644415, 0.0644415, 0.0644415, 
207.36, 0.0773, 0.0773, 0.0773, 0.0773, 0.0773, 0.0773, 0.0773, 0.0773, 0.0773, 0.0773, 0.0773, 
241.92, 0.0901485, 0.0901485, 0.0901485, 0.0901485, 0.0901485, 0.0901485, 0.0901485, 0.0901485, 0.0901485, 0.0901485, 0.0901485, 
276.48, 0.102987, 0.102987, 0.102987, 0.102987, 0.102987, 0.102987, 0.102987, 0.102987, 0.102987, 0.102987, 0.102987, 
311.04, 0.115816, 0.115816, 0.115816, 0.115816, 0.115816, 0.115816, 0.115816, 0.115816, 0.115816, 0.115816, 0.115816, 
345.6, 0.128635, 0.128635, 0.128635, 0.128635, 0.128635, 0.128635, 0.128635, 0.128635, 0.128635, 0.128635, 0.128635, 
380.16, 0.141443, 0.141443, 0.141443, 0.141443, 0.141443, 0.141443, 0.141443, 0.141443, 0.141443, 0.141443, 0.141443, 
414.72, 0.154242, 0.154242, 0.154242, 0.154242, 0.154242, 0.154242, 0.154242, 0.154242, 0.154242, 0.154242, 0.154242, 
449.28, 0.167031, 0.167031, 0.167031, 0.167031, 0.167031, 0.167031, 0.167031, 0.167031, 0.167031, 0.167031, 0.167031, 
483.84, 0.179811, 0.179811, 0.179811, 0.179811, 0.179811, 0.179811, 0.179811, 0.179811, 0.179811, 0.179811, 0.179811, 
518.4, 0.19258, 0.19258, 0.19258, 0.19258, 0.19258, 0.19258, 0.19258, 0.19258, 0.19258, 0.19258, 0.19258, 
552.96, 0.205339, 0.205339, 0.205339, 0.205339, 0.205339, 0.205339, 0.205339, 0.205339, 0.205339, 0.205339, 0.205339, 
587.52, 0.218088, 0.218088, 0.218088, 0.218088, 0.218088, 0.218088, 0.218088, 0.218088, 0.218088, 0.218088, 0.218088, 
622.08, 0.230828, 0.230828, 0.230828, 0.230828, 0.230828, 0.230828, 0.230828, 0.230828, 0.230828, 0.230828, 0.230828, 
656.64, 0.243558, 0.243558, 0.243558, 0.243558, 0.243558, 0.243558, 0.243558, 0.243558, 0.243558, 0.243558, 0.243558, 
691.2, 0.256277, 0.256277, 0.256277, 0.256277, 0.256277, 0.256277, 0.256277, 0.256277, 0.256277, 0.256277, 0.256277, 
725.76, 0.268987, 0.268987, 0.268987, 0.268987, 0.268987, 0.268987, 0.268987, 0.268987, 0.268987, 0.268987, 0.268987, 
760.32, 0.281687, 0.281687, 0.281687, 0.281687, 0.281687, 0.281687, 0.281687, 0.281687, 0.281687, 0.281687, 0.281687, 
794.88, 0.294377, 0.294377, 0.294377, 0.294377, 0.294377, 0.294377, 0.294377, 0.294377, 0.294377, 0.294377, 0.294377, 
829.44, 0.307058, 0.307058, 0.307058, 0.307058, 0.307058, 0.307058, 0.307058, 0.307058, 0.307058, 0.307058, 0.307058, 
864, 0.319728, 0.319728, 0.319728, 0.319728, 0.319728, 0.319728, 0.319728, 0.319728, 0.319728, 0.319728, 0.319728, 
898.56, 0.332388, 0.332388, 0.332388, 0.332388, 0.332388, 0.332388, 0.332388, 0.332388, 0.332388, 0.332388, 0.332388, 
933.12, 0.345039, 0.345039, 0.345039, 0.345039, 0.345039, 0.345039, 0.345039, 0.345039, 0.345039, 0.345039, 0.345039, 
967.68, 0.35768, 0.35768, 0.35768, 0.35768, 0.35768, 0.35768, 0.35768, 0.35768, 0.35768, 0.35768, 0.35768, 
1002.24, 0.370311, 0.370311, 0.370311, 0.370311, 0.370311, 0.370311, 0.370311, 0.370311, 0.370311, 0.370311, 0.370311, 
1036.8, 0.382932, 0.382932, 0.382932, 0.382932, 0.382932, 0.382932, 0.382932, 0.382932, 0.382932, 0.382932, 0.382932, 
1071.36, 0.395543, 0.395543, 0.395543, 0.395543, 0.395543, 0.395543, 0.395543, 0.395543, 0.395543, 0.395543, 0.395543, 
1105.92, 0.408145, 0.408145, 0.408145, 0.408145, 0.408145, 0.408145, 0.408145, 0.408145, 0.408145, 0.408145, 0.408145, 
1140.48, 0.420736, 0.420736, 0.420736, 0.420736, 0.420736, 0.420736, 0.420736, 0.420736, 0.420736, 0.420736, 0.420736, 
1175.04, 0.433318, 0.433318, 0.433318, 0.433318, 0.433318, 0.433318, 0.433318, 0.433318, 0.433318, 0.433318, 0.433318, 
1209.6, 0.44589, 0.44589, 0.44589, 0.44589, 0.44589, 0.44589, 0.44589, 0.44589, 0.44589, 0.44589, 0.44589, 
1244.16, 0.458452, 0.458452, 0.458452, 0.458452, 0.458452, 0.458452, 0.458452, 0.458452, 0.458452, 0.458452, 0.458452, 
1278.72, 0.471004, 0.471004, 0.471004, 0.471004, 0.471004, 0.471004, 0.471004, 0.471004, 0.471004, 0.471004, 0.471004, 
1313.28, 0.483547, 0.483547, 0.483547, 0.483547, 0.483547, 0.483547, 0.483547, 0.483547, 0.483547, 0.483547, 0.483547, 
1347.84, 0.496079, 0.496079, 0.496079, 0.496079, 0.496079, 0.496079, 0.496079, 0.496079, 0.496079, 0.496079, 0.496079, 
1382.4, 0.508602, 0.508602, 0.508602, 0.508602, 0.508602, 0.508602, 0.508602, 0.508602, 0.508602, 0.508602, 0.508602, 
1416.96, 0.521115, 0.521115, 0.521115, 0.521115, 0.521115, 0.521115, 0.521115, 0.521115, 0.521115, 0.521115, 0.521115, 
1451.52, 0.533618, 0.533618, 0.533618, 0.533618, 0.533618, 0.533618, 0.533618, 0.533618, 0.533618, 0.533618, 0.533618, 
1486.08, 0.546112, 0.546112, 0.546112, 0.546112, 0.546112, 0.546112, 0.546112, 0.546112, 0.546112, 0.546112, 0.546112, 
1520.64, 0.558595, 0.558595, 0.558595, 0.558595, 0.558595, 0.558595, 0.558595, 0.558595, 0.558595, 0.558595, 0.558595, 
