space, t=0.000000s, t=34560.000000s, t=69120.000000s, t=103680.000000s, t=138240.000000s, t=172800.000000s, t=207360.000000s, t=241920.000000s, t=276480.000000s, t=311040.000000s, t=345600.000000s, 
0.000225, 0, 8.8115, 12.7142, 14.5894, 15.5578, 16.0809, 16.3708, 16.534, 16.6267, 16.6795, 16.7097, 
0.000675, 0, 8.8115, 12.7142, 14.5894, 15.5578, 16.0809, 16.3708, 16.534, 16.6267, 16.6795, 16.7097, 
0.001125, 0, 8.8115, 12.7142, 14.5894, 15.5578, 16.0809, 16.3708, 16.534, 16.6267, 16.6795, 16.7097, 
0.001575, 0, 8.8115, 12.7142, 14.5894, 15.5578, 16.0809, 16.3708, 16.534, 16.6267, 16.6795, 16.7097, 
0.002025, 0, 8.8115, 12.7142, 14.5894, 15.5578, 16.0809, 16.3708, 16.534, 16.6267, 16.6795, 16.7097, 
0.002475, 0, 8.8115, 12.7142, 14.5894, 15.5578, 16.0809, 16.3708, 16.534, 16.6267, 16.6795, 16.7097, 
0.002925, 0, 8.8115, 12.7142, 14.5894, 15.5578, 16.0809, 16.3708, 16.534, 16.6267, 16.6795, 16.7097, 
0.003375, 0, 8.8115, 12.7142, 14.5894, 15.5578, 16.0809, 16.3708, 16.534, 16.6267, 16.6795, 16.7097, 
0.003825, 0, 8.8115, 12.7142, 14.5894, 15.5578, 16.0809, 16.3708, 16.534, 16.6267, 16.6795, 16.7097, 
0.004275, 0, 8.8115, 12.7142, 14.5894, 15.5578, 16.0809, 16.3708, 16.534, 16.6267, 16.6795, 16.7097, 
0.004725, 0, 8.8115, 12.7142, 14.5894, 15.5578, 16.0809, 16.3708, 16.534, 16.6267, 16.6795, 16.7097, 
0.005175, 0, 8.8115, 12.7142, 14.5894, 15.5578, 16.0809, 16.3708, 16.534, 16.6267, 16.6795, 16.7097, 
0.005625, 0, 8.8115, 12.7142, 14.5894, 15.5578, 16.0809, 16.3708, 16.534, 16.6267, 16.6795, 16.7097, 
0.006075, 0, 8.8115, 12.7142, 14.5894, 15.5578, 16.0809, 16.3708, 16.534, 16.6267, 16.6795, 16.7097, 
0.006525, 0, 8.8115, 12.7142, 14.5894, 15.5578, 16.0809, 16.3708, 16.534, 16.6267, 16.6795, 16.7097, 
0.006975, 0, 8.8115, 12.7142, 14.5894, 15.5578, 16.0809, 16.3708, 16.534, 16.6267, 16.6795, 16.7097, 
0.007425, 0, 8.8115, 12.7142, 14.5894, 15.5578, 16.0809, 16.3708, 16.534, 16.6267, 16.6795, 16.7097, 
0.007875, 0, 8.8115, 12.7142, 14.5894, 15.5578, 16.0809, 16.3708, 16.534, 16.6267, 16.6795, 16.7097, 
0.008325, 0, 8.8115, 12.7142, 14.5894, 15.5578, 16.0809, 16.3708, 16.534, 16.6267, 16.6795, 16.7097, 
0.008775, 0, 8.8115, 12.7142, 14.5894, 15.5578, 16.0809, 16.3708, 16.534, 16.6267, 16.6795, 16.7097, 
0.009225, 0, 8.8115, 12.7142, 14.5894, 15.5578, 16.0809, 16.3708, 16.534, 16.6267, 16.6795, 16.7097, 
0.009675, 0, 8.8115, 12.7142, 14.5894, 15.5578, 16.0809, 16.3708, 16.534, 16.6267, 16.6795, 16.7097, 
0.010125, 0, 8.8115, 12.7142, 14.5894, 15.5578, 16.0809, 16.3708, 16.534, 16.6267, 16.6795, 16.7097, 
0.010575, 0, 8.8115, 12.7142, 14.5894, 15.5578, 16.0809, 16.3708, 16.534, 16.6267, 16.6795, 16.7097, 
0.011025, 0, 8.8115, 12.7142, 14.5894, 15.5578, 16.0809, 16.3708, 16.534, 16.6267, 16.6795, 16.7097, 
0.011475, 0, 8.8115, 12.7142, 14.5894, 15.5578, 16.0809, 16.3708, 16.534, 16.6267, 16.6795, 16.7097, 
0.011925, 0, 8.8115, 12.7142, 14.5894, 15.5578, 16.0809, 16.3708, 16.534, 16.6267, 16.6795, 16.7097, 
0.012375, 0, 8.8115, 12.7142, 14.5894, 15.5578, 16.0809, 16.3708, 16.534, 16.6267, 16.6795, 16.7097, 
