space, t=0.000000s, t=34560.000000s, t=69120.000000s, t=103680.000000s, t=138240.000000s, t=172800.000000s, t=207360.000000s, t=241920.000000s, t=276480.000000s, t=311040.000000s, t=345600.000000s, 
0.000225, 0.369111, 0.363073, 0.362014, 0.36186, 0.361869, 0.361908, 0.361952, 0.361997, 0.362042, 0.362087, 0.362131, 
0.000675, 0.001, 0.292416, 0.34357, 0.3526, 0.354254, 0.354618, 0.354756, 0.354855, 0.354946, 0.355036, 0.355125, 
0.001125, 0.001, 0.176628, 0.297259, 0.334815, 0.344468, 0.346809, 0.347428, 0.347666, 0.347822, 0.347961, 0.348095, 
0.001575, 0.001, 0.0788369, 0.223383, 0.30043, 0.328499, 0.337104, 0.33957, 0.340328, 0.340646, 0.340857, 0.341042, 
0.002025, 0.001, 0.0243681, 0.141419, 0.246991, 0.301375, 0.322826, 0.330141, 0.332497, 0.333316, 0.333696, 0.333957, 
0.002475, 0.001, 0.00397599, 0.0730007, 0.181337, 0.260348, 0.300591, 0.317271, 0.323397, 0.325557, 0.326392, 0.326818, 
0.002925, 0.001, 0.000398166, 0.0287322, 0.11603, 0.207516, 0.267902, 0.298524, 0.311672, 0.316785, 0.318732, 0.31956, 
0.003375, 0.001, 0.000110239, 0.0076565, 0.0626279, 0.149695, 0.224908, 0.271781, 0.295521, 0.306001, 0.310275, 0.312019, 
0.003825, 0.001, 6.73091e-05, 0.00149361, 0.0271911, 0.0956919, 0.175104, 0.236383, 0.273189, 0.291845, 0.300277, 0.303866, 
0.004275, 0.001, 5.90029e-05, 0.000364641, 0.00917297, 0.0528964, 0.124498, 0.19395, 0.243734, 0.272891, 0.287704, 0.294543, 
0.004725, 0.001, 5.74515e-05, 0.000136551, 0.00261806, 0.0247584, 0.0796162, 0.148336, 0.207727, 0.248153, 0.271411, 0.283267, 
0.005175, 0.001, 5.71859e-05, 7.88924e-05, 0.00077444, 0.00986489, 0.0452381, 0.10463, 0.16751, 0.217631, 0.250473, 0.269124, 
0.005625, 0.001, 5.71444e-05, 6.29926e-05, 0.000273007, 0.00352838, 0.0227627, 0.0675226, 0.126775, 0.182648, 0.224597, 0.251297, 
0.006075, 0.001, 5.71384e-05, 5.86321e-05, 0.00012634, 0.00122902, 0.010249, 0.0397189, 0.0895169, 0.145736, 0.194436, 0.229354, 
0.006525, 0.001, 5.71377e-05, 5.74956e-05, 7.98603e-05, 0.000455511, 0.00422654, 0.0213105, 0.0587695, 0.110019, 0.161623, 0.203514, 
