space, t=0.000000s, t=34560.000000s, t=69120.000000s, t=103680.000000s, t=138240.000000s, t=172800.000000s, t=207360.000000s, t=241920.000000s, t=276480.000000s, t=311040.000000s, t=345600.000000s, 
0.000225, 1, 0.993696, 0.987431, 0.981206, 0.97502, 0.968873, 0.962765, 0.956695, 0.950664, 0.944671, 0.938715, 
0.000675, 1, 0.993696, 0.987432, 0.981208, 0.975023, 0.968877, 0.96277, 0.956701, 0.950671, 0.944678, 0.938724, 
0.001125, 1, 0.993697, 0.987434, 0.981213, 0.975031, 0.968888, 0.962784, 0.956718, 0.950691, 0.944701, 0.938749, 
0.001575, 1, 0.993908, 0.987649, 0.981432, 0.975255, 0.969118, 0.963019, 0.956959, 0.950937, 0.944952, 0.939004, 
0.002025, 1, 0.995492, 0.989246, 0.983032, 0.976858, 0.970724, 0.964629, 0.958571, 0.952552, 0.946569, 0.940624, 
0.002475, 1, 0.997661, 0.991549, 0.985358, 0.979196, 0.973072, 0.966985, 0.960936, 0.954924, 0.948949, 0.94301, 
0.002925, 1, 0.999284, 0.994319, 0.988232, 0.982112, 0.976014, 0.96995, 0.96392, 0.957927, 0.951968, 0.946045, 
0.003375, 1, 0.999521, 0.997117, 0.991459, 0.985467, 0.979437, 0.973421, 0.967432, 0.961475, 0.95555, 0.949658, 
0.003825, 1, 0.999528, 0.998974, 0.994712, 0.989076, 0.98321, 0.977296, 0.971384, 0.965491, 0.959625, 0.953788, 
0.004275, 1, 0.999529, 0.999467, 0.997406, 0.992646, 0.987145, 0.981436, 0.975666, 0.969885, 0.964115, 0.958365, 
0.004725, 1, 0.999529, 0.999522, 0.998923, 0.995729, 0.990955, 0.985641, 0.980124, 0.97453, 0.968913, 0.963297, 
0.005175, 1, 0.999529, 0.999528, 0.999407, 0.997868, 0.994266, 0.98963, 0.984543, 0.979252, 0.97387, 0.968453, 
0.005625, 1, 0.999529, 0.999528, 0.999507, 0.998959, 0.99673, 0.993076, 0.98865, 0.983825, 0.978796, 0.973665, 
0.006075, 1, 0.999529, 0.999529, 0.999525, 0.999365, 0.998241, 0.995711, 0.992162, 0.987991, 0.98346, 0.978726, 
0.006525, 1, 0.999529, 0.999529, 0.999528, 0.999487, 0.999005, 0.997463, 0.994873, 0.991508, 0.987624, 0.983413, 
0.006975, 1, 0.999529, 0.999529, 0.999528, 0.999519, 0.999338, 0.998489, 0.99675, 0.994227, 0.991091, 0.987516, 
0.007425, 1, 0.999529, 0.999529, 0.999529, 0.999527, 0.999468, 0.999042, 0.997936, 0.996151, 0.993766, 0.990885, 
0.007875, 1, 0.999529, 0.999529, 0.999529, 0.999528, 0.999512, 0.999322, 0.998648, 0.997419, 0.995681, 0.993472, 
0.008325, 1, 0.999529, 0.999529, 0.999529, 0.999528, 0.999525, 0.999452, 0.99907, 0.99823, 0.996977, 0.995337, 
0.008775, 1, 0.999529, 0.999529, 0.999529, 0.999529, 0.999528, 0.999504, 0.999313, 0.998753, 0.997836, 0.996621, 
0.009225, 1, 0.999529, 0.999529, 0.999529, 0.999529, 0.999528, 0.999522, 0.99944, 0.999094, 0.998418, 0.997492, 
0.009675, 1, 0.999529, 0.999529, 0.999529, 0.999529, 0.999528, 0.999527, 0.999497, 0.999309, 0.998827, 0.9981, 
0.010125, 1, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999528, 0.999519, 0.999431, 0.999116, 0.998545, 
0.010575, 1, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999528, 0.999526, 0.99949, 0.999309, 0.998883, 
0.011025, 1, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999528, 0.999515, 0.999425, 0.999136, 
0.011475, 1, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999528, 0.999524, 0.999485, 0.999312, 
0.011925, 1, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999528, 0.999527, 0.999512, 0.999421, 
0.012375, 1, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999528, 0.999523, 0.999481, 
0.012825, 1, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999528, 0.999527, 0.99951, 
0.013275, 1, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999528, 0.999522, 
0.013725, 1, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999528, 0.999526, 
0.014175, 1, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999528, 0.999528, 
0.014625, 1, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999528, 
0.015075, 1, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999528, 
0.015525, 1, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 
0.015975, 1, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 
0.016425, 1, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 
0.016875, 1, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 
0.017325, 1, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 
0.017775, 1, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 
0.018225, 1, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 
0.018675, 1, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 
0.019125, 1, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 
0.019575, 1, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 0.999529, 
