space, t=0.000000s, t=34560.000000s, t=69120.000000s, t=103680.000000s, t=138240.000000s, t=172800.000000s, t=207360.000000s, t=241920.000000s, t=276480.000000s, t=311040.000000s, t=345600.000000s, 
0.000225, 0, 0.00302011, 0.00354988, 0.00362723, 0.00362248, 0.00360294, 0.00358083, 0.00355836, 0.00353595, 0.00351366, 0.00349151, 
0.000675, 0, 0.00489967, 0.00669402, 0.00715331, 0.00723019, 0.0072124, 0.00717301, 0.00712909, 0.00708443, 0.00703984, 0.00699549, 
0.001125, 0, 0.00580372, 0.00913551, 0.0103995, 0.0107554, 0.0108068, 0.0107698, 0.0107096, 0.010644, 0.0105774, 0.0105109, 
0.001575, 0, 0.00610253, 0.0107643, 0.0131566, 0.0140766, 0.0143353, 0.0143529, 0.0142935, 0.014212, 0.0141248, 0.0140365, 
0.002025, 0, 0.00568269, 0.0116007, 0.0152649, 0.0170393, 0.0177126, 0.0178863, 0.0178682, 0.0177851, 0.0176819, 0.0175734, 
0.002475, 0, 0.00406436, 0.0115589, 0.0166116, 0.0194811, 0.0208146, 0.0213015, 0.0214021, 0.0213494, 0.0212423, 0.0211177, 
0.002925, 0, 0.00181137, 0.0103045, 0.0170413, 0.0212398, 0.0234906, 0.0244959, 0.0248379, 0.024876, 0.0247908, 0.0246604, 
0.003375, 0, 0.000801844, 0.00752619, 0.0162458, 0.0221084, 0.0255623, 0.0273317, 0.028087, 0.0283144, 0.0282996, 0.0281848, 
0.003825, 0, 0.000540872, 0.00410604, 0.0138466, 0.0217683, 0.0267952, 0.0296286, 0.0310227, 0.031585, 0.0317214, 0.0316621, 
0.004275, 0, 0.000484454, 0.00189154, 0.00997229, 0.0198334, 0.0268596, 0.031141, 0.0334679, 0.0345689, 0.0349816, 0.0350461, 
0.004725, 0, 0.000473671, 0.000949215, 0.00591351, 0.016199, 0.0253725, 0.0315377, 0.0351772, 0.0370952, 0.0379675, 0.0382645, 
0.005175, 0, 0.000471817, 0.000616464, 0.00307431, 0.0115537, 0.0221413, 0.0304471, 0.0358279, 0.0389254, 0.0405151, 0.0412093, 
0.005625, 0, 0.000471527, 0.000511846, 0.00157161, 0.00721154, 0.0175331, 0.0276435, 0.0350684, 0.0397541, 0.0423984, 0.0437252, 
0.006075, 0, 0.000471485, 0.000481885, 0.000895351, 0.00408421, 0.0125163, 0.023318, 0.0326676, 0.0392577, 0.0433362, 0.045603, 
0.006525, 0, 0.00047148, 0.000473978, 0.000622691, 0.00222208, 0.0081222, 0.0181605, 0.0287151, 0.0372151, 0.0430386, 0.0465905, 
0.006975, 0, 0.000471479, 0.000472041, 0.000521887, 0.00125259, 0.00488888, 0.0130727, 0.0237011, 0.0336567, 0.0413036, 0.0464346, 
0.007425, 0, 0.000471479, 0.000471598, 0.000487275, 0.000796487, 0.00281607, 0.00875452, 0.0183568, 0.0289304, 0.0381275, 0.0449577, 
0.007875, 0, 0.000471479, 0.000471503, 0.000476151, 0.00059867, 0.00162782, 0.00551398, 0.0133693, 0.0236107, 0.033756, 0.042137, 
0.008325, 0, 0.000471479, 0.000471483, 0.000472788, 0.000518564, 0.00100655, 0.00332767, 0.00918804, 0.0183063, 0.0286317, 0.038144, 
0.008775, 0, 0.000471479, 0.00047148, 0.000471827, 0.000488032, 0.000705547, 0.00198649, 0.00599338, 0.0134985, 0.0232665, 0.0333138, 
0.009225, 0, 0.000471479, 0.000471479, 0.000471567, 0.000477022, 0.000568805, 0.00122953, 0.00375556, 0.00947791, 0.0181174, 0.0280628, 
0.009675, 0, 0.000471479, 0.000471479, 0.0004715, 0.000473251, 0.00051009, 0.000831603, 0.00231246, 0.00635704, 0.013517, 0.0227973, 
0.010125, 0, 0.000471479, 0.000471479, 0.000471484, 0.000472021, 0.000486134, 0.000634728, 0.00144963, 0.00410723, 0.00966218, 0.0178509, 
0.010575, 0, 0.000471479, 0.000471479, 0.00047148, 0.000471638, 0.000476811, 0.000542347, 0.000966771, 0.0026, 0.00662902, 0.0134604, 
0.011025, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471524, 0.000473342, 0.000501017, 0.000711572, 0.0016575, 0.00439255, 0.00976745, 
0.011475, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471491, 0.000472105, 0.000483323, 0.000583277, 0.00110338, 0.0028487, 0.00682812, 
0.011925, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471482, 0.000471682, 0.000476055, 0.000521609, 0.000794696, 0.00184825, 0.00462123, 
0.012375, 0, 0.000471479, 0.000471479, 0.000471479, 0.00047148, 0.000471542, 0.000473185, 0.000493164, 0.000630701, 0.00123614, 0.00306074, 
0.012825, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471498, 0.000472093, 0.000480542, 0.000547197, 0.000880225, 0.00201978, 
0.013275, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471484, 0.000471693, 0.000475143, 0.0005063, 0.000682381, 0.00136169, 
0.013725, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.00047148, 0.000471551, 0.000472913, 0.000486986, 0.000576753, 0.000965196, 
0.014175, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471502, 0.000472023, 0.000478174, 0.000522401, 0.00073631, 
0.014625, 0, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471479, 0.000471486, 0.000471679, 0.000474284, 0.000495378, 0.000609162, 
