space, t=0.000000s, t=34560.000000s, t=69120.000000s, t=103680.000000s, t=138240.000000s, t=172800.000000s, t=207360.000000s, t=241920.000000s, t=276480.000000s, t=311040.000000s, t=345600.000000s, 
0.000225, 0.0164254, 0.0224628, 0.023522, 0.0236767, 0.0236672, 0.0236281, 0.0235839, 0.023539, 0.0234942, 0.0234496, 0.0234053, 
0.000675, 0.00445, 0.0240456, 0.0294135, 0.0306553, 0.0308679, 0.030843, 0.0307661, 0.0306787, 0.0305894, 0.0305003, 0.0304116, 
0.001125, 0.00445, 0.022147, 0.0329487, 0.0367795, 0.0378283, 0.0380104, 0.0379542, 0.0378378, 0.0377074, 0.0375744, 0.0374414, 
0.001575, 0.00445, 0.0195836, 0.0339098, 0.0413546, 0.0441667, 0.0449808, 0.0450972, 0.0449992, 0.0448412, 0.044668, 0.0444917, 
0.002025, 0.00445, 0.0169449, 0.0329715, 0.0439705, 0.0494025, 0.0514903, 0.0520867, 0.052126, 0.0519809, 0.0517802, 0.0515646, 
0.002475, 0.00445, 0.0129397, 0.0306605, 0.0446167, 0.0531107, 0.0571726, 0.0587204, 0.0591272, 0.0590886, 0.0588945, 0.0586511, 
0.002925, 0.00445, 0.00817084, 0.0266306, 0.0433805, 0.0550247, 0.0616356, 0.0647071, 0.0658407, 0.0660856, 0.065973, 0.0657306, 
0.003375, 0.00445, 0.0060768, 0.0202081, 0.0400016, 0.0549384, 0.0645159, 0.0696935, 0.0720249, 0.0728352, 0.0729435, 0.0727631, 
0.003825, 0.00445, 0.00553649, 0.012945, 0.0338949, 0.0524804, 0.0654425, 0.0732856, 0.0773609, 0.0791285, 0.0796844, 0.0796787, 
0.004275, 0.00445, 0.00541972, 0.00833531, 0.0253086, 0.0470934, 0.0639304, 0.0750292, 0.0814527, 0.0846741, 0.0860079, 0.0863633, 
0.004725, 0.00445, 0.0053974, 0.00638198, 0.016714, 0.0386736, 0.0594004, 0.0743656, 0.0838118, 0.0890866, 0.091644, 0.0926427, 
0.005175, 0.00445, 0.00539356, 0.00569297, 0.0107911, 0.0285966, 0.0516101, 0.0706925, 0.083848, 0.0918737, 0.096224, 0.098264, 
0.005625, 0.00445, 0.00539296, 0.00547641, 0.00767167, 0.0194241, 0.0413636, 0.0636968, 0.0809555, 0.0924476, 0.099272, 0.10288, 
0.006075, 0.00445, 0.00539288, 0.0054144, 0.00627042, 0.0128913, 0.0305969, 0.0538607, 0.0747866, 0.0902227, 0.100228, 0.106044, 
0.006525, 0.00445, 0.00539286, 0.00539804, 0.00570586, 0.00902083, 0.0213273, 0.0426118, 0.065625, 0.0848436, 0.0985467, 0.107243, 
0.006975, 0.00445, 0.00539286, 0.00539403, 0.00549719, 0.00701046, 0.0145669, 0.031753, 0.0545247, 0.076465, 0.0938856, 0.105986, 
0.007425, 0.00445, 0.00539286, 0.00539311, 0.00542555, 0.00606568, 0.010254, 0.0226499, 0.0429816, 0.065864, 0.0863137, 0.101957, 
0.007875, 0.00445, 0.00539286, 0.00539291, 0.00540253, 0.00565613, 0.00778816, 0.0158699, 0.0323686, 0.0542443, 0.0764, 0.0951689, 
0.008325, 0.00445, 0.00539286, 0.00539287, 0.00539557, 0.00549032, 0.00650072, 0.011317, 0.0235572, 0.042848, 0.0650935, 0.0860317, 
0.008775, 0.00445, 0.00539286, 0.00539286, 0.00539358, 0.00542712, 0.00587739, 0.00853198, 0.0168699, 0.0326349, 0.0534602, 0.07528, 
0.009225, 0.00445, 0.00539286, 0.00539286, 0.00539304, 0.00540433, 0.00559431, 0.00696265, 0.0122067, 0.0241641, 0.0424318, 0.0637976, 
0.009675, 0.00445, 0.00539286, 0.00539286, 0.00539291, 0.00539653, 0.00547278, 0.0061384, 0.00920832, 0.0176289, 0.0326701, 0.0524298, 
0.010125, 0.00445, 0.00539286, 0.00539286, 0.00539287, 0.00539398, 0.00542319, 0.00573077, 0.00741877, 0.0129383, 0.0245499, 0.0418567, 
0.010575, 0.00445, 0.00539286, 0.00539286, 0.00539286, 0.00539319, 0.0054039, 0.00553954, 0.00641833, 0.00980518, 0.0181967, 0.0325478, 
0.011025, 0.00445, 0.00539286, 0.00539286, 0.00539286, 0.00539295, 0.00539672, 0.005454, 0.00588986, 0.00784969, 0.0135321, 0.0247701, 
0.011475, 0.00445, 0.00539286, 0.00539286, 0.00539286, 0.00539289, 0.00539416, 0.00541738, 0.00562427, 0.0067013, 0.0103216, 0.0186125, 
0.011925, 0.00445, 0.00539286, 0.00539286, 0.00539286, 0.00539287, 0.00539328, 0.00540233, 0.00549662, 0.00606197, 0.00824522, 0.0140082, 
0.012375, 0.00445, 0.00539286, 0.00539286, 0.00539286, 0.00539286, 0.00539299, 0.00539639, 0.00543774, 0.00572244, 0.00697635, 0.0107621, 
0.012825, 0.00445, 0.00539286, 0.00539286, 0.00539286, 0.00539286, 0.0053929, 0.00539413, 0.00541162, 0.00554958, 0.00623909, 0.00860101, 
0.013275, 0.00445, 0.00539286, 0.00539286, 0.00539286, 0.00539286, 0.00539287, 0.00539331, 0.00540045, 0.00546493, 0.00582943, 0.00723652, 
0.013725, 0.00445, 0.00539286, 0.00539286, 0.00539286, 0.00539286, 0.00539287, 0.00539301, 0.00539583, 0.00542496, 0.00561076, 0.00641506, 
0.014175, 0.00445, 0.00539286, 0.00539286, 0.00539286, 0.00539286, 0.00539286, 0.00539291, 0.00539399, 0.00540672, 0.00549826, 0.00594108, 
0.014625, 0.00445, 0.00539286, 0.00539286, 0.00539286, 0.00539286, 0.00539286, 0.00539288, 0.00539328, 0.00539867, 0.00544233, 0.00567785, 
0.015075, 0.00445, 0.00539286, 0.00539286, 0.00539286, 0.00539286, 0.00539286, 0.00539287, 0.00539301, 0.00539522, 0.00541541, 0.00553669, 
0.015525, 0.00445, 0.00539286, 0.00539286, 0.00539286, 0.00539286, 0.00539286, 0.00539286, 0.00539291, 0.0053938, 0.00540286, 0.00546341, 
0.015975, 0.00445, 0.00539286, 0.00539286, 0.00539286, 0.00539286, 0.00539286, 0.00539286, 0.00539288, 0.00539322, 0.00539717, 0.00542653, 
0.016425, 0.00445, 0.00539286, 0.00539286, 0.00539286, 0.00539286, 0.00539286, 0.00539286, 0.00539287, 0.005393, 0.00539467, 0.00540851, 
0.016875, 0.00445, 0.00539286, 0.00539286, 0.00539286, 0.00539286, 0.00539286, 0.00539286, 0.00539286, 0.00539291, 0.0053936, 0.00539995, 
0.017325, 0.00445, 0.00539286, 0.00539286, 0.00539286, 0.00539286, 0.00539286, 0.00539286, 0.00539286, 0.00539288, 0.00539316, 0.00539599, 
0.017775, 0.00445, 0.00539286, 0.00539286, 0.00539286, 0.00539286, 0.00539286, 0.00539286, 0.00539286, 0.00539287, 0.00539298, 0.00539421, 
0.018225, 0.00445, 0.00539286, 0.00539286, 0.00539286, 0.00539286, 0.00539286, 0.00539286, 0.00539286, 0.00539286, 0.00539291, 0.00539343, 
