space, t=0.000000s, t=34560.000000s, t=69120.000000s, t=103680.000000s, t=138240.000000s, t=172800.000000s, t=207360.000000s, t=241920.000000s, t=276480.000000s, t=311040.000000s, t=345600.000000s, 
0.000225, 1e-05, 7.19267e-06, 6.84874e-06, 6.8011e-06, 6.804e-06, 6.81599e-06, 6.8296e-06, 6.84349e-06, 6.85739e-06, 6.87126e-06, 6.88511e-06, 
0.000675, 1e-07, 5.41159e-06, 5.1979e-06, 5.11842e-06, 5.10702e-06, 5.1164e-06, 5.13118e-06, 5.14724e-06, 5.16358e-06, 5.17998e-06, 5.19639e-06, 
0.001125, 1e-07, 3.549e-06, 4.01474e-06, 4.05097e-06, 4.0522e-06, 4.0602e-06, 4.07347e-06, 4.08881e-06, 4.10479e-06, 4.12096e-06, 4.13719e-06, 
0.001575, 1e-07, 1.79142e-06, 2.93147e-06, 3.23281e-06, 3.30978e-06, 3.33501e-06, 3.35073e-06, 3.36553e-06, 3.38055e-06, 3.39575e-06, 3.41105e-06, 
0.002025, 1e-07, 6.39944e-07, 1.90866e-06, 2.49965e-06, 2.71468e-06, 2.79e-06, 2.82055e-06, 2.83853e-06, 2.85346e-06, 2.86778e-06, 2.88203e-06, 
0.002475, 1e-07, 1.36736e-07, 1.05952e-06, 1.80863e-06, 2.18138e-06, 2.33963e-06, 2.40437e-06, 2.43393e-06, 2.45179e-06, 2.46618e-06, 2.47964e-06, 
0.002925, 1e-07, 2.16849e-08, 4.80117e-07, 1.19025e-06, 1.67824e-06, 1.93422e-06, 2.053e-06, 2.10651e-06, 2.13313e-06, 2.14991e-06, 2.16344e-06, 
0.003375, 1e-07, 8.07276e-09, 1.68603e-07, 6.96707e-07, 1.21253e-06, 1.55131e-06, 1.73535e-06, 1.82585e-06, 1.86957e-06, 1.89287e-06, 1.90822e-06, 
0.003825, 1e-07, 5.41002e-09, 5.13447e-08, 3.56987e-07, 8.11406e-07, 1.19069e-06, 1.43535e-06, 1.57145e-06, 1.64127e-06, 1.6769e-06, 1.69707e-06, 
0.004275, 1e-07, 4.84459e-09, 1.94672e-08, 1.61288e-07, 4.99835e-07, 8.66589e-07, 1.15032e-06, 1.33159e-06, 1.43416e-06, 1.48856e-06, 1.51768e-06, 
0.004725, 1e-07, 4.73671e-09, 9.5214e-09, 6.97042e-08, 2.84884e-07, 5.96447e-07, 8.87636e-07, 1.10293e-06, 1.23956e-06, 1.3179e-06, 1.36065e-06, 
0.005175, 1e-07, 4.71817e-09, 6.16675e-09, 3.19362e-08, 1.5351e-07, 3.90058e-07, 6.58634e-07, 8.89011e-07, 1.05412e-06, 1.15834e-06, 1.21876e-06, 
0.005625, 1e-07, 4.71527e-09, 5.11863e-09, 1.5836e-08, 8.08343e-08, 2.44887e-07, 4.71728e-07, 6.96864e-07, 8.79182e-07, 1.00679e-06, 1.08697e-06, 
0.006075, 1e-07, 4.71485e-09, 4.81887e-09, 8.9661e-09, 4.2425e-08, 1.49061e-07, 3.28159e-07, 5.32649e-07, 7.18803e-07, 8.63273e-07, 9.62453e-07, 
0.006525, 1e-07, 4.7148e-09, 4.73978e-09, 6.22831e-09, 2.24705e-08, 8.81881e-08, 2.22548e-07, 3.98513e-07, 5.77043e-07, 7.29831e-07, 8.44472e-07, 
0.006975, 1e-07, 4.71479e-09, 4.72041e-09, 5.21903e-09, 1.25618e-08, 5.06414e-08, 1.46693e-07, 2.92255e-07, 4.55811e-07, 6.08827e-07, 7.33696e-07, 
0.007425, 1e-07, 4.71479e-09, 4.71598e-09, 4.87276e-09, 7.96984e-09, 2.85369e-08, 9.3239e-08, 2.0931e-07, 3.54337e-07, 5.01559e-07, 6.31215e-07, 
0.007875, 1e-07, 4.71479e-09, 4.71503e-09, 4.76151e-09, 5.98739e-09, 1.63474e-08, 5.69373e-08, 1.45178e-07, 2.70154e-07, 4.07789e-07, 5.37673e-07, 
0.008325, 1e-07, 4.71479e-09, 4.71483e-09, 4.72788e-09, 5.18574e-09, 1.00771e-08, 3.3754e-08, 9.66891e-08, 2.00602e-07, 3.26207e-07, 4.5293e-07, 
0.008775, 1e-07, 4.71479e-09, 4.7148e-09, 4.71827e-09, 4.88034e-09, 7.05737e-09, 1.9971e-08, 6.17096e-08, 1.43839e-07, 2.55309e-07, 3.76262e-07, 
0.009225, 1e-07, 4.71479e-09, 4.71479e-09, 4.71567e-09, 4.77022e-09, 5.68837e-09, 1.23161e-08, 3.81036e-08, 9.89523e-08, 1.94113e-07, 3.06865e-07, 
0.009675, 1e-07, 4.71479e-09, 4.71479e-09, 4.715e-09, 4.73251e-09, 5.10096e-09, 8.31993e-09, 2.32657e-08, 6.5288e-08, 1.4238e-07, 2.44301e-07, 
0.010125, 1e-07, 4.71479e-09, 4.71479e-09, 4.71484e-09, 4.72021e-09, 4.86134e-09, 6.34801e-09, 1.4528e-08, 4.16638e-08, 1.00312e-07, 1.88712e-07, 
0.010575, 1e-07, 4.71479e-09, 4.71479e-09, 4.7148e-09, 4.71638e-09, 4.76811e-09, 5.42361e-09, 9.67435e-09, 2.61707e-08, 6.79294e-08, 1.40704e-07, 
0.011025, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71524e-09, 4.73342e-09, 5.0102e-09, 7.11709e-09, 1.66179e-08, 4.45385e-08, 1.00976e-07, 
0.011475, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71491e-09, 4.72105e-09, 4.83323e-09, 5.83305e-09, 1.10437e-08, 2.86809e-08, 6.98311e-08, 
0.011925, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71482e-09, 4.71682e-09, 4.76055e-09, 5.21614e-09, 7.94919e-09, 1.8536e-08, 4.68304e-08, 
0.012375, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.7148e-09, 4.71542e-09, 4.73185e-09, 4.93166e-09, 6.30751e-09, 1.23749e-08, 3.08179e-08, 
0.012825, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71498e-09, 4.72093e-09, 4.80542e-09, 5.47208e-09, 8.80552e-09, 2.02607e-08, 
0.013275, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71484e-09, 4.71693e-09, 4.75143e-09, 5.06303e-09, 6.82459e-09, 1.36341e-08, 
0.013725, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.7148e-09, 4.71551e-09, 4.72913e-09, 4.86987e-09, 5.76772e-09, 9.65639e-09, 
0.014175, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71502e-09, 4.72023e-09, 4.78174e-09, 5.22405e-09, 7.36423e-09, 
0.014625, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71486e-09, 4.71679e-09, 4.74284e-09, 4.9538e-09, 6.09191e-09, 
0.015075, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71481e-09, 4.7155e-09, 4.7262e-09, 4.82374e-09, 5.40975e-09, 
0.015525, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.7148e-09, 4.71504e-09, 4.7193e-09, 4.76307e-09, 5.05569e-09, 
0.015975, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71487e-09, 4.71653e-09, 4.73561e-09, 4.87749e-09, 
0.016425, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71482e-09, 4.71544e-09, 4.72353e-09, 4.7904e-09, 
0.016875, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.7148e-09, 4.71503e-09, 4.71836e-09, 4.74903e-09, 
0.017325, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71487e-09, 4.71621e-09, 4.72991e-09, 
0.017775, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71482e-09, 4.71534e-09, 4.7213e-09, 
0.018225, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.7148e-09, 4.715e-09, 4.71753e-09, 
0.018675, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71487e-09, 4.71591e-09, 
0.019125, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71482e-09, 4.71524e-09, 
0.019575, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.7148e-09, 4.71497e-09, 
0.020025, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71486e-09, 
0.020475, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71481e-09, 
0.020925, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.7148e-09, 
0.021375, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.021825, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.022275, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.022725, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.023175, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.023625, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.024075, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.024525, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.024975, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.025425, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.025875, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.026325, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
0.026775, 1e-07, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 4.71479e-09, 
