space, pressure
0.05, 1e+06
0.05009, 1e+06
0.05018, 1e+06
0.05027, 1e+06
0.05036, 1e+06
0.05045, 1e+06
0.0505401, 1e+06
0.0506301, 1e+06
0.0507201, 1e+06
0.0508101, 1e+06
0.0509001, 999999
0.0509901, 999999
0.0510801, 999999
0.0511701, 999999
0.0512601, 999999
0.0513501, 999999
0.0514401, 999999
0.0515302, 999998
0.0516202, 999998
0.0517102, 999998
0.0518002, 999998
0.0518902, 999998
0.0519802, 999997
0.0520702, 999997
0.0521602, 999997
0.0522502, 999997
0.0523402, 999996
0.0524302, 999996
0.0525203, 999996
0.0526103, 999996
0.0527003, 999995
0.0527903, 999995
0.0528803, 999995
0.0529703, 999994
0.0530603, 999994
0.0531503, 999994
0.0532403, 999993
0.0533303, 999993
0.0534203, 999993
0.0535104, 999992
0.0536004, 999992
0.0536904, 999991
0.0537804, 999991
0.0538704, 999991
0.0539604, 999990
0.0540504, 999990
0.0541404, 999989
0.0542304, 999989
0.0543204, 999988
0.0544104, 999988
0.0545005, 999987
0.0545905, 999987
0.0546805, 999986
0.0547705, 999986
0.0548605, 999985
0.0549505, 999985
0.0550405, 999984
0.0551305, 999983
0.0552205, 999983
0.0553105, 999982
0.0554005, 999982
0.0554905, 999981
0.0555806, 999980
0.0556706, 999980
0.0557606, 999979
0.0558506, 999979
0.0559406, 999978
0.0560306, 999977
0.0561206, 999977
0.0562106, 999976
0.0563006, 999975
0.0563906, 999974
0.0564806, 999974
0.0565707, 999973
0.0566607, 999972
0.0567507, 999971
0.0568407, 999971
0.0569307, 999970
0.0570207, 999969
0.0571107, 999968
0.0572007, 999968
0.0572907, 999967
0.0573807, 999966
0.0574707, 999965
0.0575608, 999964
0.0576508, 999963
0.0577408, 999963
0.0578308, 999962
0.0579208, 999961
0.0580108, 999960
0.0581008, 999959
0.0581908, 999958
0.0582808, 999957
0.0583708, 999956
0.0584608, 999955
0.0585509, 999954
0.0586409, 999953
0.0587309, 999952
0.0588209, 999951
0.0589109, 999950
0.0590009, 999949
0.0590909, 999948
0.0591809, 999947
0.0592709, 999946
0.0593609, 999945
0.0594509, 999944
0.059541, 999943
0.059631, 999942
0.059721, 999941
0.059811, 999940
0.059901, 999939
0.059991, 999938
0.060081, 999937
0.060171, 999936
0.060261, 999934
0.060351, 999933
0.060441, 999932
0.0605311, 999931
0.0606211, 999930
0.0607111, 999929
0.0608011, 999927
0.0608911, 999926
0.0609811, 999925
0.0610711, 999924
0.0611611, 999922
0.0612511, 999921
0.0613411, 999920
0.0614311, 999919
0.0615212, 999917
0.0616112, 999916
0.0617012, 999915
0.0617912, 999914
0.0618812, 999912
0.0619712, 999911
0.0620612, 999910
0.0621512, 999908
0.0622412, 999907
0.0623312, 999905
0.0624212, 999904
0.0625113, 999903
0.0626013, 999901
