time, x=0.000000, x=0.100000, x=0.200000, x=0.300000, x=0.400000, x=0.500000, x=0.600000, x=0.700000, x=0.800000, x=0.900000, 
0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 
0.001, 0.4975, 0.995, 0.995, 0.995, 0.995, 0.4975, 3.92458e-31, 3.09595e-61, 2.44227e-91, 1.92661e-121, 
0.002, 0.247506, 0.990025, 0.990025, 0.990025, 0.990025, 0.742519, 2.01105e-29, 3.12668e-59, 3.68154e-89, 3.86272e-119, 
0.003, 0.123134, 0.985075, 0.985075, 0.985075, 0.985075, 0.861941, 5.20357e-28, 1.58671e-57, 2.78404e-87, 3.88189e-117, 
0.004, 0.0612593, 0.98015, 0.98015, 0.98015, 0.98015, 0.91889, 9.0641e-27, 5.39467e-56, 1.40821e-85, 2.60724e-115, 
0.005, 0.0304765, 0.975249, 0.975249, 0.975249, 0.975249, 0.944772, 1.19566e-25, 1.38238e-54, 5.35981e-84, 1.3166e-113, 
0.006, 0.0151621, 0.970373, 0.970373, 0.970373, 0.970373, 0.95521, 1.27391e-24, 2.84777e-53, 1.63738e-82, 5.33205e-112, 
0.007, 0.00754313, 0.965521, 0.965521, 0.965521, 0.965521, 0.957978, 1.14185e-23, 4.91265e-52, 4.18204e-81, 1.80394e-110, 
0.008, 0.00375271, 0.960693, 0.960693, 0.960693, 0.960693, 0.95694, 8.85558e-23, 7.29933e-51, 9.18541e-80, 5.24413e-109, 
0.009, 0.00186697, 0.95589, 0.95589, 0.95589, 0.95589, 0.954023, 6.0657e-22, 9.53569e-50, 1.77104e-78, 1.3372e-107, 
0.01, 0.000928818, 0.95111, 0.95111, 0.95111, 0.95111, 0.950181, 3.72738e-21, 1.11264e-48, 3.0452e-77, 3.03831e-106, 
0.011, 0.000462087, 0.946355, 0.946355, 0.946355, 0.946355, 0.945892, 2.0804e-20, 1.17401e-47, 4.72768e-76, 6.22832e-105, 
0.012, 0.000229888, 0.941623, 0.941623, 0.941623, 0.941623, 0.941393, 1.06522e-19, 1.13152e-46, 6.69403e-75, 1.16352e-103, 
0.013, 0.000114369, 0.936915, 0.936915, 0.936915, 0.936915, 0.9368, 5.0449e-19, 1.00442e-45, 8.71631e-74, 1.99731e-102, 
0.014, 5.68988e-05, 0.93223, 0.93223, 0.93223, 0.93223, 0.932173, 2.22525e-18, 8.26909e-45, 1.05101e-72, 3.17254e-101, 
0.015, 2.83072e-05, 0.927569, 0.927569, 0.927569, 0.927569, 0.927541, 9.19527e-18, 6.35111e-44, 1.18054e-71, 4.69067e-100, 
0.016, 1.40828e-05, 0.922931, 0.922931, 0.922931, 0.922931, 0.922917, 3.57765e-17, 4.5741e-43, 1.24158e-70, 6.48855e-99, 
0.017, 7.0062e-06, 0.918316, 0.918316, 0.918316, 0.918316, 0.918309, 1.31639e-16, 3.10278e-42, 1.22805e-69, 8.43485e-98, 
0.018, 3.48558e-06, 0.913725, 0.913725, 0.913725, 0.913725, 0.913721, 4.59823e-16, 1.99011e-41, 1.14684e-68, 1.03448e-96, 
0.019, 1.73408e-06, 0.909156, 0.909156, 0.909156, 0.909156, 0.909155, 1.53001e-15, 1.21109e-40, 1.01469e-67, 1.20111e-95, 
0.02, 8.62704e-07, 0.90461, 0.90461, 0.90461, 0.90461, 0.90461, 4.86412e-15, 7.01437e-40, 8.53194e-67, 1.32434e-94, 
0.021, 4.29195e-07, 0.900087, 0.900087, 0.900087, 0.900087, 0.900087, 1.4815e-14, 3.87709e-39, 6.8367e-66, 1.39052e-93, 
0.022, 2.13525e-07, 0.895587, 0.895587, 0.895587, 0.895587, 0.895587, 4.33352e-14, 2.05025e-38, 5.23374e-65, 1.39379e-92, 
0.023, 1.06228e-07, 0.891109, 0.891109, 0.891109, 0.891109, 0.891109, 1.22006e-13, 1.03961e-37, 3.83642e-64, 1.33674e-91, 
0.024, 5.28487e-08, 0.886654, 0.886654, 0.886654, 0.886654, 0.886653, 3.31281e-13, 5.06502e-37, 2.69826e-63, 1.22919e-90, 
0.025, 2.62922e-08, 0.88222, 0.88222, 0.88222, 0.88222, 0.88222, 8.69115e-13, 2.37552e-36, 1.82432e-62, 1.08576e-89, 
0.026, 1.30804e-08, 0.877809, 0.877809, 0.877809, 0.877809, 0.877809, 2.20675e-12, 1.07435e-35, 1.18776e-61, 9.22872e-89, 
0.027, 6.50749e-09, 0.87342, 0.87342, 0.87342, 0.87342, 0.87342, 5.43119e-12, 4.69279e-35, 7.45863e-61, 7.5603e-88, 
0.028, 3.23747e-09, 0.869053, 0.869053, 0.869053, 0.869053, 0.869053, 1.29753e-11, 1.98266e-34, 4.52408e-60, 5.97812e-87, 
0.029, 1.61064e-09, 0.864708, 0.864708, 0.864708, 0.864708, 0.864708, 3.01298e-11, 8.11305e-34, 2.65421e-59, 4.56891e-86, 
0.03, 8.01295e-10, 0.860384, 0.860384, 0.860384, 0.860384, 0.860384, 6.80857e-11, 3.21949e-33, 1.50808e-58, 3.37936e-85, 
0.031, 3.98644e-10, 0.856082, 0.856082, 0.856082, 0.856082, 0.856082, 1.49897e-10, 1.24041e-32, 8.30826e-58, 2.42184e-84, 
0.032, 1.98326e-10, 0.851802, 0.851802, 0.851802, 0.851802, 0.851802, 3.21858e-10, 4.64507e-32, 4.44294e-57, 1.68355e-83, 
0.033, 9.8667e-11, 0.847543, 0.847543, 0.847543, 0.847543, 0.847543, 6.74682e-10, 1.69244e-31, 2.30863e-56, 1.13638e-82, 
0.034, 4.90868e-11, 0.843305, 0.843305, 0.843305, 0.843305, 0.843305, 1.38198e-09, 6.00543e-31, 1.16676e-55, 7.4553e-82, 
0.035, 2.44207e-11, 0.839089, 0.839089, 0.839089, 0.839089, 0.839089, 2.7685e-09, 2.07719e-30, 5.74052e-55, 4.7582e-81, 
0.036, 1.21493e-11, 0.834893, 0.834893, 0.834893, 0.834893, 0.834893, 5.42854e-09, 7.00938e-30, 2.75188e-54, 2.95686e-80, 
0.037, 6.04427e-12, 0.830719, 0.830719, 0.830719, 0.830719, 0.830719, 1.04268e-08, 2.3094e-29, 1.28638e-53, 1.79054e-79, 
0.038, 3.00703e-12, 0.826565, 0.826565, 0.826565, 0.826565, 0.826565, 1.9632e-08, 7.43468e-29, 5.8682e-53, 1.05739e-78, 
0.039, 1.496e-12, 0.822432, 0.822432, 0.822432, 0.822432, 0.822432, 3.62592e-08, 2.34035e-28, 2.61425e-52, 6.09388e-78, 
0.04, 7.44258e-13, 0.81832, 0.81832, 0.81832, 0.81832, 0.81832, 6.57342e-08, 7.20851e-28, 1.13813e-51, 3.42977e-77, 
0.041, 3.70268e-13, 0.814228, 0.814229, 0.814229, 0.814229, 0.814229, 1.17045e-07, 2.17389e-27, 4.84534e-51, 1.88639e-76, 
0.042, 1.84208e-13, 0.810157, 0.810157, 0.810157, 0.810157, 0.810157, 2.04809e-07, 6.42271e-27, 2.01842e-50, 1.01452e-75, 
0.043, 9.16437e-14, 0.806106, 0.806107, 0.806107, 0.806107, 0.806107, 3.52392e-07, 1.86012e-26, 8.232e-50, 5.33834e-75, 
0.044, 4.55927e-14, 0.802075, 0.802076, 0.802076, 0.802076, 0.802076, 5.96497e-07, 5.28378e-26, 3.28891e-49, 2.7499e-74, 
0.045, 2.26824e-14, 0.798065, 0.798066, 0.798066, 0.798066, 0.798066, 9.93829e-07, 1.47284e-25, 1.28789e-48, 1.38747e-73, 
0.046, 1.12845e-14, 0.794074, 0.794075, 0.794075, 0.794075, 0.794075, 1.63059e-06, 4.03082e-25, 4.94553e-48, 6.86039e-73, 
0.047, 5.61403e-15, 0.790102, 0.790105, 0.790105, 0.790105, 0.790105, 2.63574e-06, 1.08359e-24, 1.8632e-47, 3.32587e-72, 
0.048, 2.79298e-15, 0.78615, 0.786154, 0.786154, 0.786154, 0.786154, 4.19927e-06, 2.86264e-24, 6.89005e-47, 1.58159e-71, 
0.049, 1.38951e-15, 0.782217, 0.782224, 0.782224, 0.782224, 0.782224, 6.59688e-06, 7.43514e-24, 2.50204e-46, 7.38095e-71, 
