space, t=0.000000, t=0.100000, t=0.200000, t=0.300000, t=0.400000, t=0.500000, t=0.600000, t=0.700000, t=0.800000, t=0.900000, 
0.0005, 1, 4.77869e-31, 2.28358e-61, 1.09125e-91, 5.21476e-122, 2.49197e-152, 1.19083e-182, 5.69062e-213, 2.71937e-243, 1.2995e-273, 
0.0015, 1, 2.43713e-29, 2.30642e-59, 1.64779e-89, 1.04817e-119, 6.25484e-150, 3.58441e-180, 1.99741e-210, 1.09047e-240, 5.86075e-271, 
0.0025, 1, 6.2768e-28, 1.17057e-57, 1.24823e-87, 1.05604e-117, 7.86552e-148, 5.40353e-178, 3.51046e-208, 2.18912e-238, 1.32307e-268, 
0.0035, 1, 1.08839e-26, 3.98031e-56, 6.32464e-86, 7.11085e-116, 6.60715e-146, 5.43961e-176, 4.11897e-206, 2.93344e-236, 1.99343e-266, 
0.0045, 1, 1.42933e-25, 1.0201e-54, 2.41143e-84, 3.6e-114, 4.17086e-144, 4.11377e-174, 3.62989e-204, 2.9518e-234, 2.25509e-264, 
0.0055, 1, 1.51625e-24, 2.10182e-53, 7.37961e-83, 1.46167e-112, 2.11052e-142, 2.493e-172, 2.56274e-202, 2.37918e-232, 2.04313e-262, 
0.0065, 1, 1.35327e-23, 3.62653e-52, 1.88816e-81, 4.95781e-111, 8.91731e-141, 1.26108e-170, 1.50991e-200, 1.60002e-230, 1.54428e-260, 
0.0075, 1, 1.04515e-22, 5.38956e-51, 4.15449e-80, 1.44495e-109, 3.23586e-139, 5.47686e-169, 7.63603e-199, 9.23459e-229, 1.00159e-258, 
0.0085, 1, 7.12957e-22, 7.04252e-50, 8.02459e-79, 3.69398e-108, 1.02947e-137, 2.08471e-167, 3.38381e-197, 4.66934e-227, 5.6904e-257, 
0.0095, 1, 4.36361e-21, 8.21948e-49, 1.38225e-77, 8.41491e-107, 2.917e-136, 7.06517e-166, 1.33477e-195, 2.10126e-225, 2.87687e-255, 
0.0105, 1, 2.42597e-20, 8.67537e-48, 2.14983e-76, 1.72946e-105, 7.45348e-135, 2.15852e-164, 4.74528e-194, 8.52083e-224, 1.31044e-253, 
0.0115, 1, 1.2374e-19, 8.36398e-47, 3.04951e-75, 3.2392e-104, 1.73477e-133, 6.00493e-163, 1.53581e-192, 3.14506e-222, 5.43251e-252, 
0.0125, 1, 5.83836e-19, 7.42702e-46, 3.97803e-74, 5.57488e-103, 3.70838e-132, 1.53385e-161, 4.56283e-191, 1.06543e-220, 2.06667e-250, 
0.0135, 1, 2.56579e-18, 6.1166e-45, 4.8055e-73, 8.87824e-102, 7.33189e-131, 3.62249e-160, 1.25308e-189, 3.33572e-219, 7.26537e-249, 
0.0145, 1, 1.05644e-17, 4.69966e-44, 5.40773e-72, 1.31609e-100, 1.34868e-129, 7.95711e-159, 3.20001e-188, 9.70973e-218, 2.37429e-247, 
0.0155, 1, 4.0959e-17, 3.38607e-43, 5.69788e-71, 1.8253e-99, 2.31999e-128, 1.63399e-157, 7.63778e-187, 2.64116e-216, 7.24976e-246, 
0.0165, 1, 1.5019e-16, 2.29786e-42, 5.64632e-70, 2.37903e-98, 3.74868e-127, 3.15079e-156, 1.71145e-185, 6.74353e-215, 2.07759e-244, 
0.0175, 1, 5.2286e-16, 1.47449e-41, 5.28282e-69, 2.92539e-97, 5.71195e-126, 5.72753e-155, 3.6144e-184, 1.62249e-213, 5.6097e-243, 
0.0185, 1, 1.73404e-15, 8.9773e-41, 4.68291e-68, 3.40554e-96, 8.23584e-125, 9.84909e-154, 7.21927e-183, 3.69137e-212, 1.43209e-241, 
0.0195, 1, 5.49506e-15, 5.20197e-40, 3.94506e-67, 3.76486e-95, 1.12717e-123, 1.60712e-152, 1.36796e-181, 7.96604e-211, 3.46732e-240, 
0.0205, 1, 1.66841e-14, 2.87677e-39, 3.16723e-66, 3.96344e-94, 1.46836e-122, 2.49531e-151, 2.46594e-180, 1.63513e-209, 7.98389e-239, 
0.0215, 1, 4.86528e-14, 1.52207e-38, 2.42927e-65, 3.9833e-93, 1.82525e-121, 3.69584e-150, 4.23941e-179, 3.20037e-208, 1.75274e-237, 
0.0225, 1, 1.36567e-13, 7.7221e-38, 1.78413e-64, 3.8304e-92, 2.16992e-120, 5.23358e-149, 6.96672e-178, 5.98654e-207, 3.67696e-236, 
0.0235, 1, 3.6973e-13, 3.7644e-37, 1.25725e-63, 3.53159e-91, 2.47226e-119, 7.10033e-148, 1.0966e-176, 1.07245e-205, 7.38629e-235, 
0.0245, 1, 9.6721e-13, 1.76656e-36, 8.51695e-63, 3.12782e-90, 2.70452e-118, 9.24639e-147, 1.65647e-175, 1.8434e-204, 1.42348e-233, 
0.0255, 1, 2.44896e-12, 7.9943e-36, 5.55598e-62, 2.66569e-89, 2.8457e-117, 1.1578e-145, 2.40544e-174, 3.04552e-203, 2.63644e-232, 
0.0265, 1, 6.01086e-12, 3.49413e-35, 3.49577e-61, 2.18962e-88, 2.88458e-116, 1.39623e-144, 3.36332e-173, 4.84392e-202, 4.70025e-231, 
0.0275, 1, 1.4322e-11, 1.47719e-34, 2.12457e-60, 1.73604e-87, 2.82106e-115, 1.624e-143, 4.53474e-172, 7.42795e-201, 8.07798e-230, 
0.0285, 1, 3.31704e-11, 6.04873e-34, 1.24893e-59, 1.33037e-86, 2.66547e-114, 1.82437e-142, 5.9039e-171, 1.09969e-199, 1.34017e-228, 
0.0295, 1, 7.47668e-11, 2.40196e-33, 7.11035e-59, 9.86653e-86, 2.43623e-113, 1.98195e-141, 7.43162e-170, 1.57384e-198, 2.14904e-227, 
0.0305, 1, 1.64199e-10, 9.26084e-33, 3.92505e-58, 7.09001e-85, 2.15656e-112, 2.08469e-140, 9.05526e-169, 2.17996e-197, 3.33483e-226, 
0.0315, 1, 3.51719e-10, 3.47051e-32, 2.10319e-57, 4.94197e-84, 1.85091e-111, 2.12539e-139, 1.06923e-167, 2.92564e-196, 5.01337e-225, 
0.0325, 1, 7.35548e-10, 1.26543e-31, 1.09506e-56, 3.34484e-83, 1.54184e-110, 2.1025e-138, 1.22476e-166, 3.80827e-195, 7.30911e-224, 
0.0335, 1, 1.50321e-09, 4.49367e-31, 5.5456e-56, 2.20036e-82, 1.2478e-109, 2.02003e-137, 1.36226e-165, 4.81275e-194, 1.03443e-222, 
0.0345, 1, 3.00465e-09, 1.55551e-30, 2.73401e-55, 1.40816e-81, 9.81985e-109, 1.8867e-136, 1.47264e-164, 5.91038e-193, 1.42246e-221, 
0.0355, 1, 5.87886e-09, 5.2532e-30, 1.31331e-54, 8.77452e-81, 7.52123e-108, 1.71452e-135, 1.54859e-163, 7.05942e-192, 1.90219e-220, 
0.0365, 1, 1.1268e-08, 1.7322e-29, 6.15178e-54, 5.32796e-80, 5.61115e-107, 1.51717e-134, 1.58538e-162, 8.20747e-191, 2.4757e-219, 
0.0375, 1, 2.11723e-08, 5.58119e-29, 2.8121e-53, 3.15499e-79, 4.08062e-106, 1.30831e-133, 1.58133e-161, 9.29545e-190, 3.1384e-218, 
0.0385, 1, 3.90262e-08, 1.75839e-28, 1.25537e-52, 1.82326e-78, 2.89487e-105, 1.10023e-132, 1.53786e-160, 1.02629e-188, 3.87792e-217, 
0.0395, 1, 7.06138e-08, 5.42077e-28, 5.47675e-52, 1.02899e-77, 2.00475e-104, 9.02946e-132, 1.45922e-159, 1.10536e-187, 4.67383e-216, 
0.0405, 1, 1.25497e-07, 1.63621e-27, 2.33648e-51, 5.67507e-77, 1.35613e-103, 7.23642e-131, 1.35182e-158, 1.16215e-186, 5.49812e-215, 
0.0415, 1, 2.19201e-07, 4.83856e-27, 9.75349e-51, 3.06052e-76, 8.96656e-103, 5.66684e-130, 1.22343e-157, 1.19348e-185, 6.31676e-214, 
0.0425, 1, 3.76489e-07, 1.40262e-26, 3.9863e-50, 1.61489e-75, 5.79814e-102, 4.33881e-129, 1.08233e-156, 1.1979e-184, 7.09203e-213, 
0.0435, 1, 6.36197e-07, 3.988e-26, 1.59601e-49, 8.34168e-75, 3.66889e-101, 3.24982e-128, 9.36505e-156, 1.17576e-183, 7.78554e-212, 
0.0445, 1, 1.05822e-06, 1.11271e-25, 6.26306e-49, 4.2205e-74, 2.27299e-100, 2.38254e-127, 7.92975e-155, 1.12915e-182, 8.3615e-211, 
0.0455, 1, 1.73346e-06, 3.04822e-25, 2.41016e-48, 2.09264e-73, 1.37943e-99, 1.71055e-126, 6.57406e-154, 1.06155e-181, 8.78981e-210, 
0.0465, 1, 2.7977e-06, 8.20255e-25, 9.09961e-48, 1.01732e-72, 8.20455e-99, 1.20326e-125, 5.33883e-153, 9.77454e-181, 9.04878e-209, 
0.0475, 1, 4.45067e-06, 2.16915e-24, 3.37225e-47, 4.85129e-72, 4.78483e-98, 8.29694e-125, 4.24914e-152, 8.81915e-180, 9.12682e-208, 
0.0485, 1, 6.98178e-06, 5.63976e-24, 1.22724e-46, 2.27032e-71, 2.73735e-97, 5.61054e-124, 3.31585e-151, 7.80057e-179, 9.02329e-207, 
0.0495, 1, 1.08043e-05, 1.44225e-23, 4.38769e-46, 1.04312e-70, 1.53686e-96, 3.72226e-123, 2.53813e-150, 6.76682e-178, 8.7481e-206, 
0.0505, 1, 1.64998e-05, 3.62916e-23, 1.54177e-45, 4.70736e-70, 8.4714e-96, 2.42385e-122, 1.90652e-149, 5.75944e-177, 8.32044e-205, 
0.0515, 1, 2.48755e-05, 8.98922e-23, 5.32657e-45, 2.08731e-69, 4.58636e-95, 1.54979e-121, 1.40588e-148, 4.81158e-176, 7.7667e-204, 
0.0525, 1, 3.70365e-05, 2.19255e-22, 1.81003e-44, 9.09765e-69, 2.4397e-94, 9.73367e-121, 1.01812e-147, 3.94704e-175, 7.11788e-203, 
0.0535, 1, 5.44748e-05, 5.26798e-22, 6.05186e-44, 3.89908e-68, 1.27562e-93, 6.00722e-120, 7.24363e-147, 3.18049e-174, 6.40691e-202, 
0.0545, 1, 7.91791e-05, 1.24724e-21, 1.99164e-43, 1.64376e-67, 6.55804e-93, 3.64434e-119, 5.06493e-146, 2.51831e-173, 5.66611e-201, 
0.0555, 1, 0.000113765, 2.91082e-21, 6.45349e-43, 6.81875e-67, 3.31623e-92, 2.174e-118, 3.48175e-145, 1.96003e-172, 4.92502e-200, 
0.0565, 1, 0.00016163, 6.69843e-21, 2.0596e-42, 2.78421e-66, 1.64996e-91, 1.27568e-117, 2.35382e-144, 1.50003e-171, 4.20883e-199, 
0.0575, 1, 0.000227129, 1.52039e-20, 6.47602e-42, 1.11936e-65, 8.07972e-91, 7.3654e-117, 1.56544e-143, 1.12917e-170, 3.53738e-198, 
0.0585, 1, 0.000315778, 3.4048e-20, 2.00679e-41, 4.43235e-65, 3.89537e-90, 4.18563e-116, 1.02452e-142, 8.36317e-170, 2.92485e-197, 
0.0595, 1, 0.000434478, 7.52495e-20, 6.13045e-41, 1.72913e-64, 1.84951e-89, 2.34187e-115, 6.60018e-142, 6.09629e-169, 2.37988e-196, 
0.0605, 1, 0.000591755, 1.64176e-19, 1.8467e-40, 6.64766e-64, 8.65055e-89, 1.2904e-114, 4.18662e-141, 4.3749e-168, 1.90616e-195, 
0.0615, 1, 0.000798021, 3.53692e-19, 5.48701e-40, 2.5193e-63, 3.98684e-88, 7.00436e-114, 2.61556e-140, 3.09169e-167, 1.50328e-194, 
0.0625, 1, 0.00106583, 7.52591e-19, 1.6085e-39, 9.41396e-63, 1.81104e-87, 3.74634e-113, 1.60981e-139, 2.15213e-166, 1.16764e-193, 
0.0635, 1, 0.00141016, 1.58205e-18, 4.65332e-39, 3.46944e-62, 8.1106e-87, 1.97495e-112, 9.76357e-139, 1.47603e-165, 8.93474e-193, 
0.0645, 1, 0.00184865, 3.28633e-18, 1.32882e-38, 1.26138e-61, 3.58188e-86, 1.02641e-111, 5.83676e-138, 9.9767e-165, 6.73701e-192, 
0.0655, 1, 0.00240181, 6.74732e-18, 3.7466e-38, 4.52523e-61, 1.5603e-85, 5.26023e-111, 3.4401e-137, 6.64735e-164, 5.0069e-191, 
