time, Ca, H_piu, HCO3_meno, CO2, CaSiO3, SiO2
0, 0, 1e-07, 0.000445, 0.0001, 1, 1, 
10, 1.81049e-05, 1e-07, 0.000445, 0.0001, 0.999982, 1.00002, 
20, 3.62098e-05, 1e-07, 0.000445, 0.0001, 0.999964, 1.00004, 
30, 5.43148e-05, 1e-07, 0.000445, 0.0001, 0.999946, 1.00005, 
40, 7.24197e-05, 1e-07, 0.000445, 0.0001, 0.999928, 1.00007, 
50, 9.05246e-05, 1e-07, 0.000445, 0.0001, 0.999909, 1.00009, 
60, 0.00010863, 1e-07, 0.000445, 0.0001, 0.999891, 1.00011, 
70, 0.000126734, 1e-07, 0.000445, 0.0001, 0.999873, 1.00013, 
80, 0.000144839, 1e-07, 0.000445, 0.0001, 0.999855, 1.00014, 
90, 0.000162944, 1e-07, 0.000445, 0.0001, 0.999837, 1.00016, 
100, 0.000181049, 1e-07, 0.000445, 0.0001, 0.999819, 1.00018, 
110, 0.000199154, 1e-07, 0.000445, 0.0001, 0.999801, 1.0002, 
120, 0.000217259, 1e-07, 0.000445, 0.0001, 0.999783, 1.00022, 
130, 0.000235364, 1e-07, 0.000445, 0.0001, 0.999765, 1.00024, 
140, 0.000253469, 1e-07, 0.000445, 0.0001, 0.999747, 1.00025, 
150, 0.000271574, 1e-07, 0.000445, 0.0001, 0.999728, 1.00027, 
160, 0.000289679, 1e-07, 0.000445, 0.0001, 0.99971, 1.00029, 
170, 0.000307784, 1e-07, 0.000445, 0.0001, 0.999692, 1.00031, 
180, 0.000325889, 1e-07, 0.000445, 0.0001, 0.999674, 1.00033, 
190, 0.000343993, 1e-07, 0.000445, 0.0001, 0.999656, 1.00034, 
200, 0.000362098, 1e-07, 0.000445, 0.0001, 0.999638, 1.00036, 
210, 0.000380203, 1e-07, 0.000445, 0.0001, 0.99962, 1.00038, 
220, 0.000398308, 1e-07, 0.000445, 0.0001, 0.999602, 1.0004, 
230, 0.000416413, 1e-07, 0.000445, 0.0001, 0.999584, 1.00042, 
240, 0.000434518, 1e-07, 0.000445, 0.0001, 0.999565, 1.00043, 
250, 0.000452623, 1e-07, 0.000445, 0.0001, 0.999547, 1.00045, 
260, 0.000470728, 1e-07, 0.000445, 0.0001, 0.999529, 1.00047, 
270, 0.000488833, 1e-07, 0.000445, 0.0001, 0.999511, 1.00049, 
280, 0.000506938, 1e-07, 0.000445, 0.0001, 0.999493, 1.00051, 
290, 0.000525043, 1e-07, 0.000445, 0.0001, 0.999475, 1.00053, 
300, 0.000543148, 1e-07, 0.000445, 0.0001, 0.999457, 1.00054, 
310, 0.000561252, 1e-07, 0.000445, 0.0001, 0.999439, 1.00056, 
320, 0.000579357, 1e-07, 0.000445, 0.0001, 0.999421, 1.00058, 
330, 0.000597462, 1e-07, 0.000445, 0.0001, 0.999403, 1.0006, 
340, 0.000615567, 1e-07, 0.000445, 0.0001, 0.999384, 1.00062, 
350, 0.000633672, 1e-07, 0.000445, 0.0001, 0.999366, 1.00063, 
360, 0.000651777, 1e-07, 0.000445, 0.0001, 0.999348, 1.00065, 
370, 0.000669882, 1e-07, 0.000445, 0.0001, 0.99933, 1.00067, 
380, 0.000687987, 1e-07, 0.000445, 0.0001, 0.999312, 1.00069, 
390, 0.000706092, 1e-07, 0.000445, 0.0001, 0.999294, 1.00071, 
