space, pressure
0.5, 997500
0.505051, 992499
0.510101, 987497
0.515152, 982492
0.520202, 977484
0.525253, 972472
0.530303, 967453
0.535354, 962429
0.540404, 957397
0.545455, 952356
0.550505, 947306
0.555556, 942245
0.560606, 937173
0.565657, 932088
0.570707, 926990
0.575758, 921877
0.580808, 916749
0.585859, 911605
0.590909, 906442
0.59596, 901262
0.60101, 896062
0.606061, 890841
0.611111, 885599
0.616162, 880334
0.621212, 875046
0.626263, 869733
0.631313, 864395
0.636364, 859030
0.641414, 853638
0.646465, 848218
0.651515, 842767
0.656566, 837287
0.661616, 831775
0.666667, 826230
0.671717, 820652
0.676768, 815039
0.681818, 809391
0.686869, 803706
0.691919, 797984
0.69697, 792223
0.70202, 786423
0.707071, 780583
0.712121, 774700
0.717172, 768776
0.722222, 762808
0.727273, 756795
0.732323, 750737
0.737374, 744632
0.742424, 738480
0.747475, 732279
0.752525, 726029
0.757576, 719728
0.762626, 713376
0.767677, 706972
0.772727, 700513
0.777778, 694001
0.782828, 687433
0.787879, 680808
0.792929, 674126
0.79798, 667385
0.80303, 660585
0.808081, 653724
0.813131, 646802
0.818182, 639817
0.823232, 632769
0.828283, 625657
0.833333, 618478
0.838384, 611234
0.843434, 603922
0.848485, 596541
0.853535, 589091
0.858586, 581570
0.863636, 573978
0.868687, 566313
0.873737, 558575
0.878788, 550762
0.883838, 542874
0.888889, 534910
0.893939, 526867
0.89899, 518747
0.90404, 510547
0.909091, 502266
0.914141, 493904
0.919192, 485459
0.924242, 476931
0.929293, 468318
0.934343, 459620
0.939394, 450835
0.944444, 441963
0.949495, 433003
0.954545, 423952
0.959596, 414812
0.964646, 405580
0.969697, 396255
0.974747, 386837
0.979798, 377324
0.984848, 367716
0.989899, 358011
0.994949, 348209
1, 338308
