#time, x0,...,x_Nx-1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0.01, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
0.02, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 
0.03, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 2.9504, 
0.04, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 3.86335, 
0.05, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 4.7141, 
0.06, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 5.49187, 
0.07, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 6.19026, 
0.08, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 6.80707, 
0.09, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 7.34371, 
