space, pressure
0.05, 996000
0.0590909, 988000
0.0681818, 980000
0.0772727, 972000
0.0863636, 964000
0.0954545, 956000
0.104545, 948000
0.113636, 940000
0.122727, 932000
0.131818, 924000
0.140909, 916000
0.15, 908000
0.159091, 900000
0.168182, 892000
0.177273, 884000
0.186364, 876000
0.195455, 868000
0.204545, 860000
0.213636, 852000
0.222727, 844000
0.231818, 836000
0.240909, 828000
0.25, 820000
0.259091, 812000
0.268182, 804000
0.277273, 796000
0.286364, 788000
0.295455, 780000
0.304545, 772000
0.313636, 764000
0.322727, 756000
0.331818, 748000
0.340909, 740000
0.35, 732000
0.359091, 724000
0.368182, 716000
0.377273, 708000
0.386364, 700000
0.395455, 692000
0.404545, 684000
0.413636, 675983
0.422727, 667883
0.431818, 659683
0.440909, 651383
0.45, 642983
0.459091, 634483
0.468182, 625883
0.477273, 617183
0.486364, 608383
0.495455, 599483
0.504545, 590483
0.513636, 581383
0.522727, 572183
0.531818, 562883
0.540909, 553483
0.55, 543983
0.559091, 534383
0.568182, 524683
0.577273, 514883
0.586364, 504983
0.595455, 495000
0.604545, 485000
0.613636, 475000
0.622727, 465000
0.631818, 455000
0.640909, 445000
0.65, 435000
0.659091, 425000
0.668182, 415000
0.677273, 405000
0.686364, 395000
0.695455, 385000
0.704545, 375000
0.713636, 365000
0.722727, 355000
0.731818, 345000
0.740909, 335000
0.75, 325000
0.759091, 315000
0.768182, 305000
0.777273, 295000
0.786364, 285000
0.795455, 275000
0.804545, 265000
0.813636, 255000
0.822727, 245000
0.831818, 235000
0.840909, 225000
0.85, 215000
0.859091, 205000
0.868182, 195000
0.877273, 185000
0.886364, 175000
0.895455, 165000
0.904545, 155000
0.913636, 145000
0.922727, 135000
0.931818, 125000
0.940909, 115000
0.95, 105000
