space, velocity
0, 0.08
0.01, 0.08
0.02, 0.08
0.03, 0.08
0.04, 0.08
0.05, 0.08
0.06, 0.08
0.07, 0.08
0.08, 0.08
0.09, 0.08
0.1, 0.08
0.11, 0.08
0.12, 0.08
0.13, 0.08
0.14, 0.08
0.15, 0.08
0.16, 0.08
0.17, 0.08
0.18, 0.08
0.19, 0.08
0.2, 0.08
0.21, 0.08
0.22, 0.08
0.23, 0.08
0.24, 0.08
0.25, 0.08
0.26, 0.08
0.27, 0.08
0.28, 0.08
0.29, 0.08
0.3, 0.08
0.31, 0.08
0.32, 0.08
0.33, 0.08
0.34, 0.08
0.35, 0.08
0.36, 0.08
0.37, 0.08
0.38, 0.08
0.39, 0.08
0.4, 0.08
0.41, 0.081
0.42, 0.082
0.43, 0.083
0.44, 0.084
0.45, 0.085
0.46, 0.086
0.47, 0.087
0.48, 0.088
0.49, 0.089
0.5, 0.09
0.51, 0.091
0.52, 0.092
0.53, 0.093
0.54, 0.094
0.55, 0.095
0.56, 0.096
0.57, 0.097
0.58, 0.098
0.59, 0.099
0.6, 0.1
0.61, 0.1
0.62, 0.1
0.63, 0.1
0.64, 0.1
0.65, 0.1
0.66, 0.1
0.67, 0.1
0.68, 0.1
0.69, 0.1
0.7, 0.1
0.71, 0.1
0.72, 0.1
0.73, 0.1
0.74, 0.1
0.75, 0.1
0.76, 0.1
0.77, 0.1
0.78, 0.1
0.79, 0.1
0.8, 0.1
0.81, 0.1
0.82, 0.1
0.83, 0.1
0.84, 0.1
0.85, 0.1
0.86, 0.1
0.87, 0.1
0.88, 0.1
0.89, 0.1
0.9, 0.1
0.91, 0.1
0.92, 0.1
0.93, 0.1
0.94, 0.1
0.95, 0.1
0.96, 0.1
0.97, 0.1
0.98, 0.1
0.99, 0.1
1, 0.1
