time, Ca, H_piu, HCO3_meno, CO2, CaSiO3, SiO2
0, 0, 1e-07, 1, 0.0001, 1, 0.000445, 
10, 1.81049e-07, 1e-07, 1, 0.0001, 1, 0.000445, 
20, 3.62098e-07, 1e-07, 1, 0.0001, 1, 0.000445, 
30, 5.43148e-07, 1e-07, 0.999999, 0.0001, 1, 0.000445, 
40, 7.24197e-07, 1e-07, 0.999999, 0.0001, 1, 0.000445, 
50, 9.05246e-07, 1e-07, 0.999999, 0.0001, 1, 0.000445, 
60, 1.0863e-06, 1e-07, 0.999999, 0.0001, 1, 0.000445, 
70, 1.26734e-06, 1e-07, 0.999999, 0.0001, 1, 0.000445, 
80, 1.44839e-06, 1e-07, 0.999999, 0.0001, 1, 0.000445, 
90, 1.62944e-06, 1e-07, 0.999998, 0.0001, 1, 0.000445, 
100, 1.81049e-06, 1e-07, 0.999998, 0.0001, 1, 0.000445, 
110, 1.99154e-06, 1e-07, 0.999998, 0.0001, 1, 0.000445, 
120, 2.17259e-06, 1e-07, 0.999998, 0.0001, 1, 0.000445, 
130, 2.35364e-06, 1e-07, 0.999998, 0.0001, 1, 0.000445, 
140, 2.53469e-06, 1e-07, 0.999997, 0.0001, 1, 0.000445, 
150, 2.71574e-06, 1e-07, 0.999997, 0.0001, 1, 0.000445, 
160, 2.89679e-06, 1e-07, 0.999997, 0.0001, 1, 0.000445, 
170, 3.07784e-06, 1e-07, 0.999997, 0.0001, 1, 0.000445, 
180, 3.25889e-06, 1e-07, 0.999997, 0.0001, 1, 0.000445, 
190, 3.43994e-06, 1e-07, 0.999997, 0.0001, 1, 0.000445, 
200, 3.62098e-06, 1e-07, 0.999996, 0.0001, 1, 0.000445, 
210, 3.80203e-06, 1e-07, 0.999996, 0.0001, 1, 0.000445, 
220, 3.98308e-06, 1e-07, 0.999996, 0.0001, 1, 0.000445, 
230, 4.16413e-06, 1e-07, 0.999996, 0.0001, 1, 0.000445, 
240, 4.34518e-06, 1e-07, 0.999996, 0.0001, 1, 0.000445, 
250, 4.52623e-06, 1e-07, 0.999995, 0.0001, 1, 0.000445, 
